Fecha y Hora;B-402A - Bomba A flash
2025-05-07 18:36:26;5321.00
2025-05-07 18:36:25;4471.00
2025-05-07 18:36:24;3621.00
2025-05-07 18:36:23;2771.00
2025-05-07 18:36:22;1921.00
2025-05-07 18:36:21;1071.00
2025-05-07 18:36:20;221.00
2025-05-07 18:36:19;629.00
2025-05-07 18:36:18;1479.00
2025-05-07 18:36:17;2329.00
2025-05-07 18:36:16;3179.00
2025-05-07 18:36:15;4029.00
2025-05-07 18:36:14;4879.00
2025-05-07 18:36:13;5729.00
2025-05-07 18:36:12;6579.00
2025-05-07 18:36:11;7429.00
2025-05-07 18:36:10;8279.00
2025-05-07 18:36:09;9129.00
2025-05-07 18:36:08;9979.00
2025-05-07 18:36:07;9169.00
2025-05-07 18:36:06;8319.00
2025-05-07 18:36:05;7469.00
2025-05-07 18:36:04;6619.00
2025-05-07 18:36:03;5769.00
2025-05-07 18:36:02;4919.00
2025-05-07 18:36:01;4069.00
2025-05-07 18:36:00;3219.00
2025-05-07 18:35:59;2369.00
2025-05-07 18:35:58;1519.00
2025-05-07 18:35:57;669.00
2025-05-07 18:35:56;181.00
2025-05-07 18:35:55;1031.00
2025-05-07 18:35:54;1881.00
2025-05-07 18:35:53;2731.00
2025-05-07 18:35:52;3581.00
2025-05-07 18:35:51;4431.00
2025-05-07 18:35:50;5281.00
2025-05-07 18:35:49;6131.00
2025-05-07 18:35:48;6981.00
2025-05-07 18:35:47;7831.00
2025-05-07 18:35:46;8681.00
2025-05-07 18:35:45;9531.00
2025-05-07 18:35:44;9617.00
2025-05-07 18:35:43;8767.00
2025-05-07 18:35:42;7917.00
2025-05-07 18:35:41;7067.00
2025-05-07 18:35:40;6217.00
2025-05-07 18:35:39;5367.00
2025-05-07 18:35:38;4517.00
2025-05-07 18:35:37;3667.00
2025-05-07 18:35:36;2817.00
2025-05-07 18:35:35;1967.00
2025-05-07 18:35:34;1117.00
2025-05-07 18:35:33;267.00
2025-05-07 18:35:32;583.00
2025-05-07 18:35:31;1433.00
2025-05-07 18:35:30;2283.00
2025-05-07 18:35:29;3133.00
2025-05-07 18:35:28;3983.00
2025-05-07 18:35:27;4833.00
2025-05-07 18:35:26;5683.00
2025-05-07 18:35:25;6533.00
2025-05-07 18:35:24;7383.00
2025-05-07 18:35:23;8233.00
2025-05-07 18:35:22;9083.00
2025-05-07 18:35:21;9933.00
2025-05-07 18:35:20;9215.00
2025-05-07 18:35:19;8365.00
2025-05-07 18:35:18;7515.00
2025-05-07 18:35:17;6665.00
2025-05-07 18:35:16;5815.00
2025-05-07 18:35:15;4965.00
2025-05-07 18:35:14;4115.00
2025-05-07 18:35:13;3265.00
2025-05-07 18:35:12;2415.00
2025-05-07 18:35:11;1565.00
2025-05-07 18:35:10;715.00
2025-05-07 18:35:09;135.00
2025-05-07 18:35:08;985.00
2025-05-07 18:35:07;1835.00
2025-05-07 18:35:06;2685.00
2025-05-07 18:35:05;3535.00
2025-05-07 18:35:04;4385.00
2025-05-07 18:35:03;5235.00
2025-05-07 18:35:02;6085.00
2025-05-07 18:35:01;6935.00
2025-05-07 18:35:00;7785.00
2025-05-07 18:34:59;8635.00
2025-05-07 18:34:58;9485.00
2025-05-07 18:34:57;9663.00
2025-05-07 18:34:56;8813.00
2025-05-07 18:34:55;7963.00
2025-05-07 18:34:54;7113.00
2025-05-07 18:34:53;6263.00
2025-05-07 18:34:52;5413.00
2025-05-07 18:34:51;4563.00
2025-05-07 18:34:50;3713.00
2025-05-07 18:34:49;2863.00
2025-05-07 18:34:48;2013.00
2025-05-07 18:34:47;1163.00
2025-05-07 18:34:46;313.00
2025-05-07 18:34:45;537.00
2025-05-07 18:34:44;1387.00
2025-05-07 18:34:43;2237.00
2025-05-07 18:34:42;3087.00
2025-05-07 18:34:41;3937.00
2025-05-07 18:34:40;4787.00
2025-05-07 18:34:39;5637.00
2025-05-07 18:34:38;6487.00
2025-05-07 18:34:37;7337.00
2025-05-07 18:34:36;8187.00
2025-05-07 18:34:35;9037.00
2025-05-07 18:34:34;9887.00
2025-05-07 18:34:33;9261.00
2025-05-07 18:34:32;8411.00
2025-05-07 18:34:31;7561.00
2025-05-07 18:34:30;6711.00
2025-05-07 18:34:29;5861.00
2025-05-07 18:34:28;5011.00
2025-05-07 18:34:27;4161.00
2025-05-07 18:34:26;3311.00
2025-05-07 18:34:25;2461.00
2025-05-07 18:34:24;1611.00
2025-05-07 18:34:23;761.00
2025-05-07 18:34:22;89.00
2025-05-07 18:34:21;939.00
