Fecha y Hora;FIC-2051 - Control de lodo
2025-05-07 18:36:26;58.01
2025-05-07 18:36:25;49.51
2025-05-07 18:36:24;41.01
2025-05-07 18:36:23;32.51
2025-05-07 18:36:22;24.01
2025-05-07 18:36:21;15.51
2025-05-07 18:36:20;7.01
2025-05-07 18:36:19;1.49
2025-05-07 18:36:18;9.99
2025-05-07 18:36:17;18.49
2025-05-07 18:36:16;26.99
2025-05-07 18:36:15;35.49
2025-05-07 18:36:14;43.99
2025-05-07 18:36:13;52.49
2025-05-07 18:36:12;60.99
2025-05-07 18:36:11;69.49
2025-05-07 18:36:10;77.99
2025-05-07 18:36:09;86.49
2025-05-07 18:36:08;94.99
2025-05-07 18:36:07;96.49
2025-05-07 18:36:06;87.99
2025-05-07 18:36:05;79.49
2025-05-07 18:36:04;70.99
2025-05-07 18:36:03;62.49
2025-05-07 18:36:02;53.99
2025-05-07 18:36:01;45.49
2025-05-07 18:36:00;36.99
2025-05-07 18:35:59;28.49
2025-05-07 18:35:58;19.99
2025-05-07 18:35:57;11.49
2025-05-07 18:35:56;2.99
2025-05-07 18:35:55;5.51
2025-05-07 18:35:54;14.01
2025-05-07 18:35:53;22.51
2025-05-07 18:35:52;31.01
2025-05-07 18:35:51;39.51
2025-05-07 18:35:50;48.01
2025-05-07 18:35:49;56.51
2025-05-07 18:35:48;65.01
2025-05-07 18:35:47;73.51
2025-05-07 18:35:46;82.01
2025-05-07 18:35:45;90.51
2025-05-07 18:35:44;99.01
2025-05-07 18:35:43;92.47
2025-05-07 18:35:42;83.97
2025-05-07 18:35:41;75.47
2025-05-07 18:35:40;66.97
2025-05-07 18:35:39;58.47
2025-05-07 18:35:38;49.97
2025-05-07 18:35:37;41.47
2025-05-07 18:35:36;32.97
2025-05-07 18:35:35;24.47
2025-05-07 18:35:34;15.97
2025-05-07 18:35:33;7.47
2025-05-07 18:35:32;1.03
2025-05-07 18:35:31;9.53
2025-05-07 18:35:30;18.03
2025-05-07 18:35:29;26.53
2025-05-07 18:35:28;35.03
2025-05-07 18:35:27;43.53
2025-05-07 18:35:26;52.03
2025-05-07 18:35:25;60.53
2025-05-07 18:35:24;69.03
2025-05-07 18:35:23;77.53
2025-05-07 18:35:22;86.03
2025-05-07 18:35:21;94.53
2025-05-07 18:35:20;96.95
2025-05-07 18:35:19;88.45
2025-05-07 18:35:18;79.95
2025-05-07 18:35:17;71.45
2025-05-07 18:35:16;62.95
2025-05-07 18:35:15;54.45
2025-05-07 18:35:14;45.95
2025-05-07 18:35:13;37.45
2025-05-07 18:35:12;28.95
2025-05-07 18:35:11;20.45
2025-05-07 18:35:10;11.95
2025-05-07 18:35:09;3.45
2025-05-07 18:35:08;5.05
2025-05-07 18:35:07;13.55
2025-05-07 18:35:06;22.05
2025-05-07 18:35:05;30.55
2025-05-07 18:35:04;39.05
2025-05-07 18:35:03;47.55
2025-05-07 18:35:02;56.05
2025-05-07 18:35:01;64.55
2025-05-07 18:35:00;73.05
2025-05-07 18:34:59;81.55
2025-05-07 18:34:58;90.05
2025-05-07 18:34:57;98.55
2025-05-07 18:34:56;92.93
2025-05-07 18:34:55;84.43
2025-05-07 18:34:54;75.93
2025-05-07 18:34:53;67.43
2025-05-07 18:34:52;58.93
2025-05-07 18:34:51;50.43
2025-05-07 18:34:50;41.93
2025-05-07 18:34:49;33.43
2025-05-07 18:34:48;24.93
2025-05-07 18:34:47;16.43
2025-05-07 18:34:46;7.93
2025-05-07 18:34:45;0.57
2025-05-07 18:34:44;9.07
2025-05-07 18:34:43;17.57
2025-05-07 18:34:42;26.07
2025-05-07 18:34:41;34.57
2025-05-07 18:34:40;43.07
2025-05-07 18:34:39;51.57
2025-05-07 18:34:38;60.07
2025-05-07 18:34:37;68.57
2025-05-07 18:34:36;77.07
2025-05-07 18:34:35;85.57
2025-05-07 18:34:34;94.07
2025-05-07 18:34:33;97.41
2025-05-07 18:34:32;88.91
2025-05-07 18:34:31;80.41
2025-05-07 18:34:30;71.91
2025-05-07 18:34:29;63.41
2025-05-07 18:34:28;54.91
2025-05-07 18:34:27;46.41
2025-05-07 18:34:26;37.91
2025-05-07 18:34:25;29.41
2025-05-07 18:34:24;20.91
2025-05-07 18:34:23;12.41
2025-05-07 18:34:22;3.91
2025-05-07 18:34:21;4.59
2025-05-07 18:34:20;13.09
2025-05-07 18:34:19;21.59
2025-05-07 18:34:18;30.09
2025-05-07 18:34:17;38.59
2025-05-07 18:34:16;47.09
2025-05-07 18:34:15;55.59
2025-05-07 18:34:14;64.09
2025-05-07 18:34:13;72.59
2025-05-07 18:34:12;81.09
2025-05-07 18:34:11;89.59
2025-05-07 18:34:10;98.09
2025-05-07 18:34:09;93.39
2025-05-07 18:34:08;84.89
2025-05-07 18:34:07;76.39
2025-05-07 18:34:06;67.89
2025-05-07 18:34:05;59.39
2025-05-07 18:34:04;50.89
2025-05-07 18:34:03;42.39
2025-05-07 18:34:02;33.89
2025-05-07 18:34:01;25.39
2025-05-07 18:34:00;16.89
2025-05-07 18:33:59;8.39
2025-05-07 18:33:58;0.11
2025-05-07 18:33:57;8.61
2025-05-07 18:33:56;17.11
2025-05-07 18:33:55;25.61
2025-05-07 18:33:54;34.11
2025-05-07 18:33:53;42.61
2025-05-07 18:33:52;51.11
2025-05-07 18:33:51;59.61
2025-05-07 18:33:50;68.11
2025-05-07 18:33:49;76.61
2025-05-07 18:33:48;85.11
2025-05-07 18:33:47;93.61
2025-05-07 18:33:46;97.87
2025-05-07 18:33:45;89.37
2025-05-07 18:33:44;80.87
2025-05-07 18:33:43;72.37
2025-05-07 18:33:42;63.87
2025-05-07 18:33:41;55.37
2025-05-07 18:33:40;46.87
2025-05-07 18:33:39;38.37
2025-05-07 18:33:38;29.87
2025-05-07 18:33:37;21.37
2025-05-07 18:33:36;12.87
2025-05-07 18:33:35;4.37
2025-05-07 18:33:34;4.13
2025-05-07 18:33:33;12.63
2025-05-07 18:33:32;21.13
2025-05-07 18:33:31;29.63
2025-05-07 18:33:30;38.13
2025-05-07 18:33:29;46.63
2025-05-07 18:33:28;55.13
2025-05-07 18:33:27;63.63
2025-05-07 18:33:26;72.13
2025-05-07 18:33:25;80.63
2025-05-07 18:33:24;89.13
2025-05-07 18:33:23;97.63
2025-05-07 18:33:22;93.85
2025-05-07 18:33:21;85.35
2025-05-07 18:33:20;76.85
2025-05-07 18:33:19;68.35
2025-05-07 18:33:18;59.85
2025-05-07 18:33:17;51.35
2025-05-07 18:33:16;42.85
2025-05-07 18:33:15;34.35
2025-05-07 18:33:14;25.85
2025-05-07 18:33:13;17.35
2025-05-07 18:33:12;8.85
2025-05-07 18:33:11;0.35
2025-05-07 18:33:10;8.15
2025-05-07 18:33:09;16.65
2025-05-07 18:33:08;25.15
2025-05-07 18:33:07;33.65
2025-05-07 18:33:06;42.15
2025-05-07 18:33:05;50.65
2025-05-07 18:33:04;59.15
2025-05-07 18:33:03;67.65
2025-05-07 18:33:02;76.15
2025-05-07 18:33:01;84.65
2025-05-07 18:33:00;93.15
2025-05-07 18:32:59;98.33
