Fecha y Hora;KV-5013 - Válvula refrigeración E-501 (2/2)
2025-05-07 18:36:26;53400.00
2025-05-07 18:36:25;44900.00
2025-05-07 18:36:24;36400.00
2025-05-07 18:36:23;27900.00
2025-05-07 18:36:22;19400.00
2025-05-07 18:36:21;10900.00
2025-05-07 18:36:20;2400.00
2025-05-07 18:36:19;6100.00
2025-05-07 18:36:18;14600.00
2025-05-07 18:36:17;23100.00
2025-05-07 18:36:16;31600.00
2025-05-07 18:36:15;40100.00
2025-05-07 18:36:14;48600.00
2025-05-07 18:36:13;57100.00
2025-05-07 18:36:12;65600.00
2025-05-07 18:36:11;74100.00
2025-05-07 18:36:10;82600.00
2025-05-07 18:36:09;91100.00
2025-05-07 18:36:08;99600.00
2025-05-07 18:36:07;91880.00
2025-05-07 18:36:06;83380.00
2025-05-07 18:36:05;74880.00
2025-05-07 18:36:04;66380.00
2025-05-07 18:36:03;57880.00
2025-05-07 18:36:02;49380.00
2025-05-07 18:36:01;40880.00
2025-05-07 18:36:00;32380.00
2025-05-07 18:35:59;23880.00
2025-05-07 18:35:58;15380.00
2025-05-07 18:35:57;6880.00
2025-05-07 18:35:56;1620.00
2025-05-07 18:35:55;10120.00
2025-05-07 18:35:54;18620.00
2025-05-07 18:35:53;27120.00
2025-05-07 18:35:52;35620.00
2025-05-07 18:35:51;44120.00
2025-05-07 18:35:50;52620.00
2025-05-07 18:35:49;61120.00
2025-05-07 18:35:48;69620.00
2025-05-07 18:35:47;78120.00
2025-05-07 18:35:46;86620.00
2025-05-07 18:35:45;95120.00
2025-05-07 18:35:44;96360.00
2025-05-07 18:35:43;87860.00
2025-05-07 18:35:42;79360.00
2025-05-07 18:35:41;70860.00
2025-05-07 18:35:40;62360.00
2025-05-07 18:35:39;53860.00
2025-05-07 18:35:38;45360.00
2025-05-07 18:35:37;36860.00
2025-05-07 18:35:36;28360.00
2025-05-07 18:35:35;19860.00
2025-05-07 18:35:34;11360.00
2025-05-07 18:35:33;2860.00
2025-05-07 18:35:32;5640.00
2025-05-07 18:35:31;14140.00
2025-05-07 18:35:30;22640.00
2025-05-07 18:35:29;31140.00
2025-05-07 18:35:28;39640.00
2025-05-07 18:35:27;48140.00
2025-05-07 18:35:26;56640.00
2025-05-07 18:35:25;65140.00
2025-05-07 18:35:24;73640.00
2025-05-07 18:35:23;82140.00
2025-05-07 18:35:22;90640.00
2025-05-07 18:35:21;99140.00
2025-05-07 18:35:20;92340.00
2025-05-07 18:35:19;83840.00
2025-05-07 18:35:18;75340.00
2025-05-07 18:35:17;66840.00
2025-05-07 18:35:16;58340.00
2025-05-07 18:35:15;49840.00
2025-05-07 18:35:14;41340.00
2025-05-07 18:35:13;32840.00
2025-05-07 18:35:12;24340.00
2025-05-07 18:35:11;15840.00
2025-05-07 18:35:10;7340.00
2025-05-07 18:35:09;1160.00
2025-05-07 18:35:08;9660.00
2025-05-07 18:35:07;18160.00
