Fecha y Hora;LIC-3031 - Nivel reactor R-303
2025-05-07 18:36:26;53.55
2025-05-07 18:36:25;45.05
2025-05-07 18:36:24;36.55
2025-05-07 18:36:23;28.05
2025-05-07 18:36:22;19.55
2025-05-07 18:36:21;11.05
2025-05-07 18:36:20;2.55
2025-05-07 18:36:19;5.95
2025-05-07 18:36:18;14.45
2025-05-07 18:36:17;22.95
2025-05-07 18:36:16;31.45
2025-05-07 18:36:15;39.95
2025-05-07 18:36:14;48.45
2025-05-07 18:36:13;56.95
2025-05-07 18:36:12;65.45
2025-05-07 18:36:11;73.95
2025-05-07 18:36:10;82.45
2025-05-07 18:36:09;90.95
2025-05-07 18:36:08;99.45
2025-05-07 18:36:07;92.03
2025-05-07 18:36:06;83.53
2025-05-07 18:36:05;75.03
2025-05-07 18:36:04;66.53
2025-05-07 18:36:03;58.03
2025-05-07 18:36:02;49.53
2025-05-07 18:36:01;41.03
2025-05-07 18:36:00;32.53
2025-05-07 18:35:59;24.03
2025-05-07 18:35:58;15.53
2025-05-07 18:35:57;7.03
2025-05-07 18:35:56;1.47
2025-05-07 18:35:55;9.97
2025-05-07 18:35:54;18.47
2025-05-07 18:35:53;26.97
2025-05-07 18:35:52;35.47
2025-05-07 18:35:51;43.97
2025-05-07 18:35:50;52.47
2025-05-07 18:35:49;60.97
2025-05-07 18:35:48;69.47
2025-05-07 18:35:47;77.97
2025-05-07 18:35:46;86.47
2025-05-07 18:35:45;94.97
2025-05-07 18:35:44;96.51
2025-05-07 18:35:43;88.01
2025-05-07 18:35:42;79.51
2025-05-07 18:35:41;71.01
2025-05-07 18:35:40;62.51
2025-05-07 18:35:39;54.01
2025-05-07 18:35:38;45.51
2025-05-07 18:35:37;37.01
2025-05-07 18:35:36;28.51
2025-05-07 18:35:35;20.01
2025-05-07 18:35:34;11.51
2025-05-07 18:35:33;3.01
2025-05-07 18:35:32;5.49
2025-05-07 18:35:31;13.99
2025-05-07 18:35:30;22.49
2025-05-07 18:35:29;30.99
2025-05-07 18:35:28;39.49
2025-05-07 18:35:27;47.99
2025-05-07 18:35:26;56.49
2025-05-07 18:35:25;64.99
2025-05-07 18:35:24;73.49
2025-05-07 18:35:23;81.99
2025-05-07 18:35:22;90.49
2025-05-07 18:35:21;98.99
2025-05-07 18:35:20;92.49
2025-05-07 18:35:19;83.99
2025-05-07 18:35:18;75.49
2025-05-07 18:35:17;66.99
2025-05-07 18:35:16;58.49
2025-05-07 18:35:15;49.99
2025-05-07 18:35:14;41.49
2025-05-07 18:35:13;32.99
2025-05-07 18:35:12;24.49
2025-05-07 18:35:11;15.99
2025-05-07 18:35:10;7.49
2025-05-07 18:35:09;1.01
2025-05-07 18:35:08;9.51
2025-05-07 18:35:07;18.01
2025-05-07 18:35:06;26.51
2025-05-07 18:35:05;35.01
2025-05-07 18:35:04;43.51
2025-05-07 18:35:03;52.01
2025-05-07 18:35:02;60.51
2025-05-07 18:35:01;69.01
2025-05-07 18:35:00;77.51
2025-05-07 18:34:59;86.01
2025-05-07 18:34:58;94.51
2025-05-07 18:34:57;96.97
2025-05-07 18:34:56;88.47
2025-05-07 18:34:55;79.97
2025-05-07 18:34:54;71.47
2025-05-07 18:34:53;62.97
2025-05-07 18:34:52;54.47
2025-05-07 18:34:51;45.97
2025-05-07 18:34:50;37.47
2025-05-07 18:34:49;28.97
2025-05-07 18:34:48;20.47
2025-05-07 18:34:47;11.97
2025-05-07 18:34:46;3.47
2025-05-07 18:34:45;5.03
2025-05-07 18:34:44;13.53
2025-05-07 18:34:43;22.03
2025-05-07 18:34:42;30.53
2025-05-07 18:34:41;39.03
2025-05-07 18:34:40;47.53
2025-05-07 18:34:39;56.03
2025-05-07 18:34:38;64.53
2025-05-07 18:34:37;73.03
2025-05-07 18:34:36;81.53
2025-05-07 18:34:35;90.03
2025-05-07 18:34:34;98.53
2025-05-07 18:34:33;92.95
2025-05-07 18:34:32;84.45
2025-05-07 18:34:31;75.95
2025-05-07 18:34:30;67.45
2025-05-07 18:34:29;58.95
2025-05-07 18:34:28;50.45
2025-05-07 18:34:27;41.95
2025-05-07 18:34:26;33.45
2025-05-07 18:34:25;24.95
2025-05-07 18:34:24;16.45
2025-05-07 18:34:23;7.95
2025-05-07 18:34:22;0.55
2025-05-07 18:34:21;9.05
2025-05-07 18:34:20;17.55
2025-05-07 18:34:19;26.05
2025-05-07 18:34:18;34.55
2025-05-07 18:34:17;43.05
2025-05-07 18:34:16;51.55
2025-05-07 18:34:15;60.05
2025-05-07 18:34:14;68.55
2025-05-07 18:34:13;77.05
2025-05-07 18:34:12;85.55
2025-05-07 18:34:11;94.05
2025-05-07 18:34:10;97.43
2025-05-07 18:34:09;88.93
2025-05-07 18:34:08;80.43
2025-05-07 18:34:07;71.93
2025-05-07 18:34:06;63.43
2025-05-07 18:34:05;54.93
2025-05-07 18:34:04;46.43
2025-05-07 18:34:03;37.93
2025-05-07 18:34:02;29.43
2025-05-07 18:34:01;20.93
2025-05-07 18:34:00;12.43
2025-05-07 18:33:59;3.93
2025-05-07 18:33:58;4.57
2025-05-07 18:33:57;13.07
2025-05-07 18:33:56;21.57
2025-05-07 18:33:55;30.07
2025-05-07 18:33:54;38.57
2025-05-07 18:33:53;47.07
2025-05-07 18:33:52;55.57
2025-05-07 18:33:51;64.07
2025-05-07 18:33:50;72.57
2025-05-07 18:33:49;81.07
2025-05-07 18:33:48;89.57
2025-05-07 18:33:47;98.07
2025-05-07 18:33:46;93.41
2025-05-07 18:33:45;84.91
2025-05-07 18:33:44;76.41
2025-05-07 18:33:43;67.91
2025-05-07 18:33:42;59.41
2025-05-07 18:33:41;50.91
2025-05-07 18:33:40;42.41
2025-05-07 18:33:39;33.91
2025-05-07 18:33:38;25.41
2025-05-07 18:33:37;16.91
2025-05-07 18:33:36;8.41
2025-05-07 18:33:35;0.09
2025-05-07 18:33:34;8.59
2025-05-07 18:33:33;17.09
2025-05-07 18:33:32;25.59
2025-05-07 18:33:31;34.09
2025-05-07 18:33:30;42.59
2025-05-07 18:33:29;51.09
2025-05-07 18:33:28;59.59
2025-05-07 18:33:27;68.09
2025-05-07 18:33:26;76.59
2025-05-07 18:33:25;85.09
2025-05-07 18:33:24;93.59
2025-05-07 18:33:23;97.89
2025-05-07 18:33:22;89.39
2025-05-07 18:33:21;80.89
2025-05-07 18:33:20;72.39
2025-05-07 18:33:19;63.89
2025-05-07 18:33:18;55.39
2025-05-07 18:33:17;46.89
2025-05-07 18:33:16;38.39
2025-05-07 18:33:15;29.89
2025-05-07 18:33:14;21.39
2025-05-07 18:33:13;12.89
2025-05-07 18:33:12;4.39
2025-05-07 18:33:11;4.11
2025-05-07 18:33:10;12.61
2025-05-07 18:33:09;21.11
2025-05-07 18:33:08;29.61
2025-05-07 18:33:07;38.11
2025-05-07 18:33:06;46.61
2025-05-07 18:33:05;55.11
2025-05-07 18:33:04;63.61
2025-05-07 18:33:03;72.11
2025-05-07 18:33:02;80.61
2025-05-07 18:33:01;89.11
2025-05-07 18:33:00;97.61
2025-05-07 18:32:59;93.87
2025-05-07 18:32:58;85.37
2025-05-07 18:32:57;76.87
2025-05-07 18:32:56;68.37
2025-05-07 18:32:55;59.87
2025-05-07 18:32:54;51.37
2025-05-07 18:32:53;42.87
2025-05-07 18:32:52;34.37
2025-05-07 18:32:51;25.87
2025-05-07 18:32:50;17.37
2025-05-07 18:32:49;8.87
2025-05-07 18:32:48;0.37
2025-05-07 18:32:47;8.13
2025-05-07 18:32:46;16.63
2025-05-07 18:32:45;25.13
2025-05-07 18:32:44;33.63
2025-05-07 18:32:43;42.13
2025-05-07 18:32:42;50.63
2025-05-07 18:32:41;59.13
2025-05-07 18:32:40;67.63
2025-05-07 18:32:39;76.13
2025-05-07 18:32:38;84.63
2025-05-07 18:32:37;93.13
2025-05-07 18:32:36;98.35
2025-05-07 18:32:35;89.85
2025-05-07 18:32:34;81.35
2025-05-07 18:32:33;72.85
2025-05-07 18:32:32;64.35
2025-05-07 18:32:31;55.85
2025-05-07 18:32:30;47.35
2025-05-07 18:32:29;38.85
2025-05-07 18:32:28;30.35
2025-05-07 18:32:27;21.85
2025-05-07 18:32:26;13.35
2025-05-07 18:32:25;4.85
2025-05-07 18:32:24;3.65
2025-05-07 18:32:23;12.15
2025-05-07 18:32:22;20.65
2025-05-07 18:32:21;29.15
2025-05-07 18:32:20;37.65
2025-05-07 18:32:19;46.15
2025-05-07 18:32:18;54.65
2025-05-07 18:32:17;63.15
2025-05-07 18:32:16;71.65
2025-05-07 18:32:15;80.15
2025-05-07 18:32:14;88.65
2025-05-07 18:32:13;97.15
2025-05-07 18:32:12;94.33
2025-05-07 18:32:11;85.83
2025-05-07 18:32:10;77.33
2025-05-07 18:32:09;68.83
2025-05-07 18:32:08;60.33
2025-05-07 18:32:07;51.83
2025-05-07 18:32:06;43.33
2025-05-07 18:32:05;34.83
2025-05-07 18:32:04;26.33
2025-05-07 18:32:03;17.83
2025-05-07 18:32:02;9.33
2025-05-07 18:32:01;0.83
2025-05-07 18:32:00;7.67
2025-05-07 18:31:59;16.17
2025-05-07 18:31:58;24.67
2025-05-07 18:31:57;33.17
2025-05-07 18:31:56;41.67
2025-05-07 18:31:55;50.17
2025-05-07 18:31:54;58.67
2025-05-07 18:31:53;67.17
2025-05-07 18:31:52;75.67
2025-05-07 18:31:51;84.17
2025-05-07 18:31:50;92.67
2025-05-07 18:31:49;98.81
2025-05-07 18:31:48;90.31
2025-05-07 18:31:47;81.81
2025-05-07 18:31:46;73.31
2025-05-07 18:31:45;64.81
2025-05-07 18:31:44;56.31
