Fecha y Hora;LIT-2019 - Nivel mezclador M-201
2025-05-07 18:36:26;53.54
2025-05-07 18:36:25;45.04
2025-05-07 18:36:24;36.54
2025-05-07 18:36:23;28.04
2025-05-07 18:36:22;19.54
2025-05-07 18:36:21;11.04
2025-05-07 18:36:20;2.54
2025-05-07 18:36:19;5.96
2025-05-07 18:36:18;14.46
2025-05-07 18:36:17;22.96
2025-05-07 18:36:16;31.46
2025-05-07 18:36:15;39.96
2025-05-07 18:36:14;48.46
2025-05-07 18:36:13;56.96
2025-05-07 18:36:12;65.46
2025-05-07 18:36:11;73.96
2025-05-07 18:36:10;82.46
2025-05-07 18:36:09;90.96
2025-05-07 18:36:08;99.46
2025-05-07 18:36:07;92.02
2025-05-07 18:36:06;83.52
2025-05-07 18:36:05;75.02
2025-05-07 18:36:04;66.52
2025-05-07 18:36:03;58.02
2025-05-07 18:36:02;49.52
2025-05-07 18:36:01;41.02
2025-05-07 18:36:00;32.52
2025-05-07 18:35:59;24.02
2025-05-07 18:35:58;15.52
2025-05-07 18:35:57;7.02
2025-05-07 18:35:56;1.48
2025-05-07 18:35:55;9.98
2025-05-07 18:35:54;18.48
2025-05-07 18:35:53;26.98
2025-05-07 18:35:52;35.48
2025-05-07 18:35:51;43.98
2025-05-07 18:35:50;52.48
2025-05-07 18:35:49;60.98
2025-05-07 18:35:48;69.48
2025-05-07 18:35:47;77.98
2025-05-07 18:35:46;86.48
2025-05-07 18:35:45;94.98
2025-05-07 18:35:44;96.50
2025-05-07 18:35:43;88.00
2025-05-07 18:35:42;79.50
2025-05-07 18:35:41;71.00
2025-05-07 18:35:40;62.50
2025-05-07 18:35:39;54.00
2025-05-07 18:35:38;45.50
2025-05-07 18:35:37;37.00
2025-05-07 18:35:36;28.50
2025-05-07 18:35:35;20.00
2025-05-07 18:35:34;11.50
2025-05-07 18:35:33;3.00
2025-05-07 18:35:32;5.50
2025-05-07 18:35:31;14.00
2025-05-07 18:35:30;22.50
2025-05-07 18:35:29;31.00
2025-05-07 18:35:28;39.50
2025-05-07 18:35:27;48.00
2025-05-07 18:35:26;56.50
2025-05-07 18:35:25;65.00
2025-05-07 18:35:24;73.50
2025-05-07 18:35:23;82.00
2025-05-07 18:35:22;90.50
2025-05-07 18:35:21;99.00
2025-05-07 18:35:20;92.48
2025-05-07 18:35:19;83.98
2025-05-07 18:35:18;75.48
2025-05-07 18:35:17;66.98
2025-05-07 18:35:16;58.48
2025-05-07 18:35:15;49.98
2025-05-07 18:35:14;41.48
2025-05-07 18:35:13;32.98
2025-05-07 18:35:12;24.48
2025-05-07 18:35:11;15.98
2025-05-07 18:35:10;7.48
2025-05-07 18:35:09;1.02
2025-05-07 18:35:08;9.52
2025-05-07 18:35:07;18.02
2025-05-07 18:35:06;26.52
2025-05-07 18:35:05;35.02
2025-05-07 18:35:04;43.52
2025-05-07 18:35:03;52.02
2025-05-07 18:35:02;60.52
2025-05-07 18:35:01;69.02
2025-05-07 18:35:00;77.52
2025-05-07 18:34:59;86.02
2025-05-07 18:34:58;94.52
2025-05-07 18:34:57;96.96
2025-05-07 18:34:56;88.46
2025-05-07 18:34:55;79.96
2025-05-07 18:34:54;71.46
2025-05-07 18:34:53;62.96
2025-05-07 18:34:52;54.46
2025-05-07 18:34:51;45.96
2025-05-07 18:34:50;37.46
2025-05-07 18:34:49;28.96
2025-05-07 18:34:48;20.46
2025-05-07 18:34:47;11.96
2025-05-07 18:34:46;3.46
2025-05-07 18:34:45;5.04
2025-05-07 18:34:44;13.54
2025-05-07 18:34:43;22.04
2025-05-07 18:34:42;30.54
2025-05-07 18:34:41;39.04
2025-05-07 18:34:40;47.54
2025-05-07 18:34:39;56.04
2025-05-07 18:34:38;64.54
2025-05-07 18:34:37;73.04
2025-05-07 18:34:36;81.54
2025-05-07 18:34:35;90.04
2025-05-07 18:34:34;98.54
2025-05-07 18:34:33;92.94
2025-05-07 18:34:32;84.44
2025-05-07 18:34:31;75.94
2025-05-07 18:34:30;67.44
2025-05-07 18:34:29;58.94
2025-05-07 18:34:28;50.44
2025-05-07 18:34:27;41.94
2025-05-07 18:34:26;33.44
2025-05-07 18:34:25;24.94
2025-05-07 18:34:24;16.44
2025-05-07 18:34:23;7.94
2025-05-07 18:34:22;0.56
2025-05-07 18:34:21;9.06
2025-05-07 18:34:20;17.56
2025-05-07 18:34:19;26.06
2025-05-07 18:34:18;34.56
2025-05-07 18:34:17;43.06
2025-05-07 18:34:16;51.56
2025-05-07 18:34:15;60.06
2025-05-07 18:34:14;68.56
2025-05-07 18:34:13;77.06
2025-05-07 18:34:12;85.56
2025-05-07 18:34:11;94.06
2025-05-07 18:34:10;97.42
2025-05-07 18:34:09;88.92
2025-05-07 18:34:08;80.42
2025-05-07 18:34:07;71.92
2025-05-07 18:34:06;63.42
2025-05-07 18:34:05;54.92
2025-05-07 18:34:04;46.42
2025-05-07 18:34:03;37.92
2025-05-07 18:34:02;29.42
2025-05-07 18:34:01;20.92
2025-05-07 18:34:00;12.42
2025-05-07 18:33:59;3.92
2025-05-07 18:33:58;4.58
2025-05-07 18:33:57;13.08
2025-05-07 18:33:56;21.58
2025-05-07 18:33:55;30.08
2025-05-07 18:33:54;38.58
2025-05-07 18:33:53;47.08
2025-05-07 18:33:52;55.58
2025-05-07 18:33:51;64.08
2025-05-07 18:33:50;72.58
2025-05-07 18:33:49;81.08
2025-05-07 18:33:48;89.58
2025-05-07 18:33:47;98.08
2025-05-07 18:33:46;93.40
2025-05-07 18:33:45;84.90
2025-05-07 18:33:44;76.40
2025-05-07 18:33:43;67.90
2025-05-07 18:33:42;59.40
2025-05-07 18:33:41;50.90
2025-05-07 18:33:40;42.40
2025-05-07 18:33:39;33.90
2025-05-07 18:33:38;25.40
2025-05-07 18:33:37;16.90
2025-05-07 18:33:36;8.40
2025-05-07 18:33:35;0.10
2025-05-07 18:33:34;8.60
2025-05-07 18:33:33;17.10
2025-05-07 18:33:32;25.60
2025-05-07 18:33:31;34.10
2025-05-07 18:33:30;42.60
2025-05-07 18:33:29;51.10
2025-05-07 18:33:28;59.60
2025-05-07 18:33:27;68.10
2025-05-07 18:33:26;76.60
2025-05-07 18:33:25;85.10
2025-05-07 18:33:24;93.60
2025-05-07 18:33:23;97.88
2025-05-07 18:33:22;89.38
2025-05-07 18:33:21;80.88
2025-05-07 18:33:20;72.38
2025-05-07 18:33:19;63.88
2025-05-07 18:33:18;55.38
2025-05-07 18:33:17;46.88
2025-05-07 18:33:16;38.38
2025-05-07 18:33:15;29.88
2025-05-07 18:33:14;21.38
2025-05-07 18:33:13;12.88
2025-05-07 18:33:12;4.38
2025-05-07 18:33:11;4.12
2025-05-07 18:33:10;12.62
2025-05-07 18:33:09;21.12
2025-05-07 18:33:08;29.62
2025-05-07 18:33:07;38.12
2025-05-07 18:33:06;46.62
2025-05-07 18:33:05;55.12
2025-05-07 18:33:04;63.62
2025-05-07 18:33:03;72.12
2025-05-07 18:33:02;80.62
2025-05-07 18:33:01;89.12
2025-05-07 18:33:00;97.62
2025-05-07 18:32:59;93.86
2025-05-07 18:32:58;85.36
2025-05-07 18:32:57;76.86
2025-05-07 18:32:56;68.36
2025-05-07 18:32:55;59.86
2025-05-07 18:32:54;51.36
2025-05-07 18:32:53;42.86
2025-05-07 18:32:52;34.36
2025-05-07 18:32:51;25.86
2025-05-07 18:32:50;17.36
2025-05-07 18:32:49;8.86
2025-05-07 18:32:48;0.36
2025-05-07 18:32:47;8.14
2025-05-07 18:32:46;16.64
2025-05-07 18:32:45;25.14
