Fecha y Hora;LIT-3049 - Nivel desgasificador S-304
2025-05-07 18:36:26;53.58
2025-05-07 18:36:25;45.08
2025-05-07 18:36:24;36.58
2025-05-07 18:36:23;28.08
2025-05-07 18:36:22;19.58
2025-05-07 18:36:21;11.08
2025-05-07 18:36:20;2.58
2025-05-07 18:36:19;5.92
2025-05-07 18:36:18;14.42
2025-05-07 18:36:17;22.92
2025-05-07 18:36:16;31.42
2025-05-07 18:36:15;39.92
2025-05-07 18:36:14;48.42
2025-05-07 18:36:13;56.92
2025-05-07 18:36:12;65.42
2025-05-07 18:36:11;73.92
2025-05-07 18:36:10;82.42
2025-05-07 18:36:09;90.92
2025-05-07 18:36:08;99.42
2025-05-07 18:36:07;92.06
2025-05-07 18:36:06;83.56
2025-05-07 18:36:05;75.06
2025-05-07 18:36:04;66.56
2025-05-07 18:36:03;58.06
2025-05-07 18:36:02;49.56
2025-05-07 18:36:01;41.06
2025-05-07 18:36:00;32.56
2025-05-07 18:35:59;24.06
2025-05-07 18:35:58;15.56
2025-05-07 18:35:57;7.06
2025-05-07 18:35:56;1.44
2025-05-07 18:35:55;9.94
2025-05-07 18:35:54;18.44
2025-05-07 18:35:53;26.94
2025-05-07 18:35:52;35.44
2025-05-07 18:35:51;43.94
2025-05-07 18:35:50;52.44
2025-05-07 18:35:49;60.94
2025-05-07 18:35:48;69.44
2025-05-07 18:35:47;77.94
2025-05-07 18:35:46;86.44
2025-05-07 18:35:45;94.94
2025-05-07 18:35:44;96.54
2025-05-07 18:35:43;88.04
2025-05-07 18:35:42;79.54
2025-05-07 18:35:41;71.04
2025-05-07 18:35:40;62.54
2025-05-07 18:35:39;54.04
2025-05-07 18:35:38;45.54
2025-05-07 18:35:37;37.04
2025-05-07 18:35:36;28.54
2025-05-07 18:35:35;20.04
2025-05-07 18:35:34;11.54
2025-05-07 18:35:33;3.04
2025-05-07 18:35:32;5.46
2025-05-07 18:35:31;13.96
2025-05-07 18:35:30;22.46
2025-05-07 18:35:29;30.96
2025-05-07 18:35:28;39.46
2025-05-07 18:35:27;47.96
2025-05-07 18:35:26;56.46
2025-05-07 18:35:25;64.96
2025-05-07 18:35:24;73.46
2025-05-07 18:35:23;81.96
2025-05-07 18:35:22;90.46
2025-05-07 18:35:21;98.96
2025-05-07 18:35:20;92.52
2025-05-07 18:35:19;84.02
2025-05-07 18:35:18;75.52
2025-05-07 18:35:17;67.02
2025-05-07 18:35:16;58.52
2025-05-07 18:35:15;50.02
2025-05-07 18:35:14;41.52
2025-05-07 18:35:13;33.02
2025-05-07 18:35:12;24.52
2025-05-07 18:35:11;16.02
2025-05-07 18:35:10;7.52
2025-05-07 18:35:09;0.98
2025-05-07 18:35:08;9.48
2025-05-07 18:35:07;17.98
2025-05-07 18:35:06;26.48
2025-05-07 18:35:05;34.98
2025-05-07 18:35:04;43.48
2025-05-07 18:35:03;51.98
2025-05-07 18:35:02;60.48
2025-05-07 18:35:01;68.98
2025-05-07 18:35:00;77.48
2025-05-07 18:34:59;85.98
2025-05-07 18:34:58;94.48
2025-05-07 18:34:57;97.00
2025-05-07 18:34:56;88.50
2025-05-07 18:34:55;80.00
2025-05-07 18:34:54;71.50
2025-05-07 18:34:53;63.00
2025-05-07 18:34:52;54.50
2025-05-07 18:34:51;46.00
2025-05-07 18:34:50;37.50
2025-05-07 18:34:49;29.00
2025-05-07 18:34:48;20.50
2025-05-07 18:34:47;12.00
2025-05-07 18:34:46;3.50
2025-05-07 18:34:45;5.00
2025-05-07 18:34:44;13.50
2025-05-07 18:34:43;22.00
2025-05-07 18:34:42;30.50
2025-05-07 18:34:41;39.00
2025-05-07 18:34:40;47.50
2025-05-07 18:34:39;56.00
2025-05-07 18:34:38;64.50
2025-05-07 18:34:37;73.00
2025-05-07 18:34:36;81.50
2025-05-07 18:34:35;90.00
2025-05-07 18:34:34;98.50
2025-05-07 18:34:33;92.98
2025-05-07 18:34:32;84.48
2025-05-07 18:34:31;75.98
2025-05-07 18:34:30;67.48
2025-05-07 18:34:29;58.98
2025-05-07 18:34:28;50.48
2025-05-07 18:34:27;41.98
2025-05-07 18:34:26;33.48
2025-05-07 18:34:25;24.98
2025-05-07 18:34:24;16.48
2025-05-07 18:34:23;7.98
2025-05-07 18:34:22;0.52
2025-05-07 18:34:21;9.02
2025-05-07 18:34:20;17.52
2025-05-07 18:34:19;26.02
2025-05-07 18:34:18;34.52
2025-05-07 18:34:17;43.02
2025-05-07 18:34:16;51.52
2025-05-07 18:34:15;60.02
2025-05-07 18:34:14;68.52
2025-05-07 18:34:13;77.02
2025-05-07 18:34:12;85.52
2025-05-07 18:34:11;94.02
2025-05-07 18:34:10;97.46
2025-05-07 18:34:09;88.96
2025-05-07 18:34:08;80.46
2025-05-07 18:34:07;71.96
2025-05-07 18:34:06;63.46
2025-05-07 18:34:05;54.96
2025-05-07 18:34:04;46.46
2025-05-07 18:34:03;37.96
2025-05-07 18:34:02;29.46
2025-05-07 18:34:01;20.96
2025-05-07 18:34:00;12.46
2025-05-07 18:33:59;3.96
2025-05-07 18:33:58;4.54
2025-05-07 18:33:57;13.04
2025-05-07 18:33:56;21.54
2025-05-07 18:33:55;30.04
2025-05-07 18:33:54;38.54
2025-05-07 18:33:53;47.04
2025-05-07 18:33:52;55.54
2025-05-07 18:33:51;64.04
2025-05-07 18:33:50;72.54
2025-05-07 18:33:49;81.04
2025-05-07 18:33:48;89.54
2025-05-07 18:33:47;98.04
