Fecha y Hora;LIT-4019 - Nivel flash S-401
2025-05-07 18:36:26;53.60
2025-05-07 18:36:25;45.10
2025-05-07 18:36:24;36.60
2025-05-07 18:36:23;28.10
2025-05-07 18:36:22;19.60
2025-05-07 18:36:21;11.10
2025-05-07 18:36:20;2.60
2025-05-07 18:36:19;5.90
2025-05-07 18:36:18;14.40
2025-05-07 18:36:17;22.90
2025-05-07 18:36:16;31.40
2025-05-07 18:36:15;39.90
2025-05-07 18:36:14;48.40
2025-05-07 18:36:13;56.90
2025-05-07 18:36:12;65.40
2025-05-07 18:36:11;73.90
2025-05-07 18:36:10;82.40
2025-05-07 18:36:09;90.90
2025-05-07 18:36:08;99.40
2025-05-07 18:36:07;92.08
2025-05-07 18:36:06;83.58
2025-05-07 18:36:05;75.08
2025-05-07 18:36:04;66.58
2025-05-07 18:36:03;58.08
2025-05-07 18:36:02;49.58
2025-05-07 18:36:01;41.08
2025-05-07 18:36:00;32.58
2025-05-07 18:35:59;24.08
2025-05-07 18:35:58;15.58
2025-05-07 18:35:57;7.08
2025-05-07 18:35:56;1.42
2025-05-07 18:35:55;9.92
2025-05-07 18:35:54;18.42
2025-05-07 18:35:53;26.92
2025-05-07 18:35:52;35.42
2025-05-07 18:35:51;43.92
2025-05-07 18:35:50;52.42
2025-05-07 18:35:49;60.92
2025-05-07 18:35:48;69.42
2025-05-07 18:35:47;77.92
2025-05-07 18:35:46;86.42
2025-05-07 18:35:45;94.92
2025-05-07 18:35:44;96.56
2025-05-07 18:35:43;88.06
2025-05-07 18:35:42;79.56
2025-05-07 18:35:41;71.06
2025-05-07 18:35:40;62.56
2025-05-07 18:35:39;54.06
2025-05-07 18:35:38;45.56
2025-05-07 18:35:37;37.06
2025-05-07 18:35:36;28.56
2025-05-07 18:35:35;20.06
2025-05-07 18:35:34;11.56
2025-05-07 18:35:33;3.06
2025-05-07 18:35:32;5.44
2025-05-07 18:35:31;13.94
2025-05-07 18:35:30;22.44
2025-05-07 18:35:29;30.94
2025-05-07 18:35:28;39.44
2025-05-07 18:35:27;47.94
2025-05-07 18:35:26;56.44
2025-05-07 18:35:25;64.94
2025-05-07 18:35:24;73.44
2025-05-07 18:35:23;81.94
2025-05-07 18:35:22;90.44
2025-05-07 18:35:21;98.94
2025-05-07 18:35:20;92.54
2025-05-07 18:35:19;84.04
2025-05-07 18:35:18;75.54
2025-05-07 18:35:17;67.04
2025-05-07 18:35:16;58.54
2025-05-07 18:35:15;50.04
2025-05-07 18:35:14;41.54
2025-05-07 18:35:13;33.04
2025-05-07 18:35:12;24.54
2025-05-07 18:35:11;16.04
2025-05-07 18:35:10;7.54
2025-05-07 18:35:09;0.96
2025-05-07 18:35:08;9.46
2025-05-07 18:35:07;17.96
2025-05-07 18:35:06;26.46
2025-05-07 18:35:05;34.96
2025-05-07 18:35:04;43.46
2025-05-07 18:35:03;51.96
2025-05-07 18:35:02;60.46
2025-05-07 18:35:01;68.96
2025-05-07 18:35:00;77.46
2025-05-07 18:34:59;85.96
2025-05-07 18:34:58;94.46
2025-05-07 18:34:57;97.02
2025-05-07 18:34:56;88.52
2025-05-07 18:34:55;80.02
2025-05-07 18:34:54;71.52
2025-05-07 18:34:53;63.02
2025-05-07 18:34:52;54.52
2025-05-07 18:34:51;46.02
2025-05-07 18:34:50;37.52
2025-05-07 18:34:49;29.02
2025-05-07 18:34:48;20.52
2025-05-07 18:34:47;12.02
2025-05-07 18:34:46;3.52
2025-05-07 18:34:45;4.98
2025-05-07 18:34:44;13.48
2025-05-07 18:34:43;21.98
2025-05-07 18:34:42;30.48
2025-05-07 18:34:41;38.98
2025-05-07 18:34:40;47.48
2025-05-07 18:34:39;55.98
