Fecha y Hora;PIC-3023 - Presión entrada reactor R-303
2025-05-07 18:36:26;57.95
2025-05-07 18:36:25;49.45
2025-05-07 18:36:24;40.95
2025-05-07 18:36:23;32.45
2025-05-07 18:36:22;23.95
2025-05-07 18:36:21;15.45
2025-05-07 18:36:20;6.95
2025-05-07 18:36:19;1.55
2025-05-07 18:36:18;10.05
2025-05-07 18:36:17;18.55
2025-05-07 18:36:16;27.05
2025-05-07 18:36:15;35.55
2025-05-07 18:36:14;44.05
2025-05-07 18:36:13;52.55
2025-05-07 18:36:12;61.05
2025-05-07 18:36:11;69.55
2025-05-07 18:36:10;78.05
2025-05-07 18:36:09;86.55
2025-05-07 18:36:08;95.05
2025-05-07 18:36:07;96.43
2025-05-07 18:36:06;87.93
2025-05-07 18:36:05;79.43
2025-05-07 18:36:04;70.93
2025-05-07 18:36:03;62.43
2025-05-07 18:36:02;53.93
2025-05-07 18:36:01;45.43
2025-05-07 18:36:00;36.93
2025-05-07 18:35:59;28.43
2025-05-07 18:35:58;19.93
2025-05-07 18:35:57;11.43
2025-05-07 18:35:56;2.93
2025-05-07 18:35:55;5.57
2025-05-07 18:35:54;14.07
2025-05-07 18:35:53;22.57
2025-05-07 18:35:52;31.07
2025-05-07 18:35:51;39.57
2025-05-07 18:35:50;48.07
2025-05-07 18:35:49;56.57
2025-05-07 18:35:48;65.07
2025-05-07 18:35:47;73.57
2025-05-07 18:35:46;82.07
2025-05-07 18:35:45;90.57
2025-05-07 18:35:44;99.07
2025-05-07 18:35:43;92.41
2025-05-07 18:35:42;83.91
2025-05-07 18:35:41;75.41
2025-05-07 18:35:40;66.91
2025-05-07 18:35:39;58.41
2025-05-07 18:35:38;49.91
2025-05-07 18:35:37;41.41
2025-05-07 18:35:36;32.91
2025-05-07 18:35:35;24.41
2025-05-07 18:35:34;15.91
2025-05-07 18:35:33;7.41
2025-05-07 18:35:32;1.09
2025-05-07 18:35:31;9.59
2025-05-07 18:35:30;18.09
2025-05-07 18:35:29;26.59
2025-05-07 18:35:28;35.09
2025-05-07 18:35:27;43.59
2025-05-07 18:35:26;52.09
2025-05-07 18:35:25;60.59
2025-05-07 18:35:24;69.09
2025-05-07 18:35:23;77.59
2025-05-07 18:35:22;86.09
2025-05-07 18:35:21;94.59
2025-05-07 18:35:20;96.89
2025-05-07 18:35:19;88.39
2025-05-07 18:35:18;79.89
2025-05-07 18:35:17;71.39
2025-05-07 18:35:16;62.89
2025-05-07 18:35:15;54.39
2025-05-07 18:35:14;45.89
2025-05-07 18:35:13;37.39
2025-05-07 18:35:12;28.89
2025-05-07 18:35:11;20.39
2025-05-07 18:35:10;11.89
2025-05-07 18:35:09;3.39
2025-05-07 18:35:08;5.11
2025-05-07 18:35:07;13.61
2025-05-07 18:35:06;22.11
2025-05-07 18:35:05;30.61
2025-05-07 18:35:04;39.11
2025-05-07 18:35:03;47.61
2025-05-07 18:35:02;56.11
2025-05-07 18:35:01;64.61
2025-05-07 18:35:00;73.11
2025-05-07 18:34:59;81.61
2025-05-07 18:34:58;90.11
2025-05-07 18:34:57;98.61
2025-05-07 18:34:56;92.87
2025-05-07 18:34:55;84.37
2025-05-07 18:34:54;75.87
2025-05-07 18:34:53;67.37
2025-05-07 18:34:52;58.87
2025-05-07 18:34:51;50.37
2025-05-07 18:34:50;41.87
2025-05-07 18:34:49;33.37
2025-05-07 18:34:48;24.87
2025-05-07 18:34:47;16.37
2025-05-07 18:34:46;7.87
2025-05-07 18:34:45;0.63
2025-05-07 18:34:44;9.13
2025-05-07 18:34:43;17.63
2025-05-07 18:34:42;26.13
2025-05-07 18:34:41;34.63
2025-05-07 18:34:40;43.13
2025-05-07 18:34:39;51.63
2025-05-07 18:34:38;60.13
2025-05-07 18:34:37;68.63
2025-05-07 18:34:36;77.13
2025-05-07 18:34:35;85.63
2025-05-07 18:34:34;94.13
2025-05-07 18:34:33;97.35
2025-05-07 18:34:32;88.85
2025-05-07 18:34:31;80.35
2025-05-07 18:34:30;71.85
2025-05-07 18:34:29;63.35
2025-05-07 18:34:28;54.85
2025-05-07 18:34:27;46.35
2025-05-07 18:34:26;37.85
2025-05-07 18:34:25;29.35
2025-05-07 18:34:24;20.85
2025-05-07 18:34:23;12.35
2025-05-07 18:34:22;3.85
2025-05-07 18:34:21;4.65
2025-05-07 18:34:20;13.15
2025-05-07 18:34:19;21.65
2025-05-07 18:34:18;30.15
2025-05-07 18:34:17;38.65
2025-05-07 18:34:16;47.15
2025-05-07 18:34:15;55.65
2025-05-07 18:34:14;64.15
2025-05-07 18:34:13;72.65
2025-05-07 18:34:12;81.15
2025-05-07 18:34:11;89.65
2025-05-07 18:34:10;98.15
2025-05-07 18:34:09;93.33
2025-05-07 18:34:08;84.83
2025-05-07 18:34:07;76.33
2025-05-07 18:34:06;67.83
2025-05-07 18:34:05;59.33
2025-05-07 18:34:04;50.83
2025-05-07 18:34:03;42.33
2025-05-07 18:34:02;33.83
2025-05-07 18:34:01;25.33
2025-05-07 18:34:00;16.83
2025-05-07 18:33:59;8.33
2025-05-07 18:33:58;0.17
2025-05-07 18:33:57;8.67
2025-05-07 18:33:56;17.17
2025-05-07 18:33:55;25.67
2025-05-07 18:33:54;34.17
2025-05-07 18:33:53;42.67
2025-05-07 18:33:52;51.17
2025-05-07 18:33:51;59.67
2025-05-07 18:33:50;68.17
2025-05-07 18:33:49;76.67
2025-05-07 18:33:48;85.17
2025-05-07 18:33:47;93.67
2025-05-07 18:33:46;97.81
2025-05-07 18:33:45;89.31
2025-05-07 18:33:44;80.81
2025-05-07 18:33:43;72.31
2025-05-07 18:33:42;63.81
2025-05-07 18:33:41;55.31
2025-05-07 18:33:40;46.81
2025-05-07 18:33:39;38.31
2025-05-07 18:33:38;29.81
2025-05-07 18:33:37;21.31
2025-05-07 18:33:36;12.81
2025-05-07 18:33:35;4.31
2025-05-07 18:33:34;4.19
2025-05-07 18:33:33;12.69
2025-05-07 18:33:32;21.19
2025-05-07 18:33:31;29.69
2025-05-07 18:33:30;38.19
2025-05-07 18:33:29;46.69
2025-05-07 18:33:28;55.19
2025-05-07 18:33:27;63.69
2025-05-07 18:33:26;72.19
2025-05-07 18:33:25;80.69
2025-05-07 18:33:24;89.19
2025-05-07 18:33:23;97.69
2025-05-07 18:33:22;93.79
2025-05-07 18:33:21;85.29
2025-05-07 18:33:20;76.79
2025-05-07 18:33:19;68.29
2025-05-07 18:33:18;59.79
2025-05-07 18:33:17;51.29
2025-05-07 18:33:16;42.79
2025-05-07 18:33:15;34.29
