Fecha y Hora;PIC-3042 - Presión desgasificador S-304
2025-05-07 18:36:26;57.97
2025-05-07 18:36:25;49.47
2025-05-07 18:36:24;40.97
2025-05-07 18:36:23;32.47
2025-05-07 18:36:22;23.97
2025-05-07 18:36:21;15.47
2025-05-07 18:36:20;6.97
2025-05-07 18:36:19;1.53
2025-05-07 18:36:18;10.03
2025-05-07 18:36:17;18.53
2025-05-07 18:36:16;27.03
2025-05-07 18:36:15;35.53
2025-05-07 18:36:14;44.03
2025-05-07 18:36:13;52.53
2025-05-07 18:36:12;61.03
2025-05-07 18:36:11;69.53
2025-05-07 18:36:10;78.03
2025-05-07 18:36:09;86.53
2025-05-07 18:36:08;95.03
2025-05-07 18:36:07;96.45
2025-05-07 18:36:06;87.95
2025-05-07 18:36:05;79.45
2025-05-07 18:36:04;70.95
2025-05-07 18:36:03;62.45
2025-05-07 18:36:02;53.95
2025-05-07 18:36:01;45.45
2025-05-07 18:36:00;36.95
2025-05-07 18:35:59;28.45
2025-05-07 18:35:58;19.95
2025-05-07 18:35:57;11.45
2025-05-07 18:35:56;2.95
2025-05-07 18:35:55;5.55
2025-05-07 18:35:54;14.05
2025-05-07 18:35:53;22.55
2025-05-07 18:35:52;31.05
2025-05-07 18:35:51;39.55
2025-05-07 18:35:50;48.05
2025-05-07 18:35:49;56.55
2025-05-07 18:35:48;65.05
2025-05-07 18:35:47;73.55
2025-05-07 18:35:46;82.05
2025-05-07 18:35:45;90.55
2025-05-07 18:35:44;99.05
2025-05-07 18:35:43;92.43
2025-05-07 18:35:42;83.93
2025-05-07 18:35:41;75.43
2025-05-07 18:35:40;66.93
2025-05-07 18:35:39;58.43
2025-05-07 18:35:38;49.93
2025-05-07 18:35:37;41.43
2025-05-07 18:35:36;32.93
2025-05-07 18:35:35;24.43
2025-05-07 18:35:34;15.93
2025-05-07 18:35:33;7.43
2025-05-07 18:35:32;1.07
2025-05-07 18:35:31;9.57
2025-05-07 18:35:30;18.07
2025-05-07 18:35:29;26.57
2025-05-07 18:35:28;35.07
2025-05-07 18:35:27;43.57
2025-05-07 18:35:26;52.07
2025-05-07 18:35:25;60.57
2025-05-07 18:35:24;69.07
2025-05-07 18:35:23;77.57
2025-05-07 18:35:22;86.07
2025-05-07 18:35:21;94.57
2025-05-07 18:35:20;96.91
2025-05-07 18:35:19;88.41
2025-05-07 18:35:18;79.91
2025-05-07 18:35:17;71.41
2025-05-07 18:35:16;62.91
2025-05-07 18:35:15;54.41
2025-05-07 18:35:14;45.91
2025-05-07 18:35:13;37.41
2025-05-07 18:35:12;28.91
2025-05-07 18:35:11;20.41
2025-05-07 18:35:10;11.91
2025-05-07 18:35:09;3.41
2025-05-07 18:35:08;5.09
2025-05-07 18:35:07;13.59
2025-05-07 18:35:06;22.09
2025-05-07 18:35:05;30.59
2025-05-07 18:35:04;39.09
2025-05-07 18:35:03;47.59
2025-05-07 18:35:02;56.09
2025-05-07 18:35:01;64.59
2025-05-07 18:35:00;73.09
2025-05-07 18:34:59;81.59
2025-05-07 18:34:58;90.09
2025-05-07 18:34:57;98.59
2025-05-07 18:34:56;92.89
2025-05-07 18:34:55;84.39
2025-05-07 18:34:54;75.89
2025-05-07 18:34:53;67.39
2025-05-07 18:34:52;58.89
2025-05-07 18:34:51;50.39
2025-05-07 18:34:50;41.89
2025-05-07 18:34:49;33.39
2025-05-07 18:34:48;24.89
2025-05-07 18:34:47;16.39
2025-05-07 18:34:46;7.89
2025-05-07 18:34:45;0.61
2025-05-07 18:34:44;9.11
2025-05-07 18:34:43;17.61
2025-05-07 18:34:42;26.11
2025-05-07 18:34:41;34.61
2025-05-07 18:34:40;43.11
2025-05-07 18:34:39;51.61
2025-05-07 18:34:38;60.11
2025-05-07 18:34:37;68.61
2025-05-07 18:34:36;77.11
2025-05-07 18:34:35;85.61
2025-05-07 18:34:34;94.11
2025-05-07 18:34:33;97.37
2025-05-07 18:34:32;88.87
2025-05-07 18:34:31;80.37
2025-05-07 18:34:30;71.87
2025-05-07 18:34:29;63.37
2025-05-07 18:34:28;54.87
2025-05-07 18:34:27;46.37
2025-05-07 18:34:26;37.87
2025-05-07 18:34:25;29.37
2025-05-07 18:34:24;20.87
2025-05-07 18:34:23;12.37
2025-05-07 18:34:22;3.87
2025-05-07 18:34:21;4.63
2025-05-07 18:34:20;13.13
2025-05-07 18:34:19;21.63
2025-05-07 18:34:18;30.13
2025-05-07 18:34:17;38.63
2025-05-07 18:34:16;47.13
2025-05-07 18:34:15;55.63
2025-05-07 18:34:14;64.13
2025-05-07 18:34:13;72.63
2025-05-07 18:34:12;81.13
2025-05-07 18:34:11;89.63
2025-05-07 18:34:10;98.13
