Fecha y Hora;PIT-2012 - Presión mezclador M-201
2025-05-07 18:36:26;57.94
2025-05-07 18:36:25;49.44
2025-05-07 18:36:24;40.94
2025-05-07 18:36:23;32.44
2025-05-07 18:36:22;23.94
2025-05-07 18:36:21;15.44
2025-05-07 18:36:20;6.94
2025-05-07 18:36:19;1.56
2025-05-07 18:36:18;10.06
2025-05-07 18:36:17;18.56
2025-05-07 18:36:16;27.06
2025-05-07 18:36:15;35.56
2025-05-07 18:36:14;44.06
2025-05-07 18:36:13;52.56
2025-05-07 18:36:12;61.06
2025-05-07 18:36:11;69.56
2025-05-07 18:36:10;78.06
2025-05-07 18:36:09;86.56
2025-05-07 18:36:08;95.06
2025-05-07 18:36:07;96.42
2025-05-07 18:36:06;87.92
2025-05-07 18:36:05;79.42
2025-05-07 18:36:04;70.92
2025-05-07 18:36:03;62.42
2025-05-07 18:36:02;53.92
2025-05-07 18:36:01;45.42
2025-05-07 18:36:00;36.92
2025-05-07 18:35:59;28.42
2025-05-07 18:35:58;19.92
2025-05-07 18:35:57;11.42
2025-05-07 18:35:56;2.92
2025-05-07 18:35:55;5.58
2025-05-07 18:35:54;14.08
2025-05-07 18:35:53;22.58
2025-05-07 18:35:52;31.08
2025-05-07 18:35:51;39.58
2025-05-07 18:35:50;48.08
2025-05-07 18:35:49;56.58
2025-05-07 18:35:48;65.08
2025-05-07 18:35:47;73.58
2025-05-07 18:35:46;82.08
2025-05-07 18:35:45;90.58
2025-05-07 18:35:44;99.08
2025-05-07 18:35:43;92.40
2025-05-07 18:35:42;83.90
2025-05-07 18:35:41;75.40
2025-05-07 18:35:40;66.90
2025-05-07 18:35:39;58.40
2025-05-07 18:35:38;49.90
2025-05-07 18:35:37;41.40
2025-05-07 18:35:36;32.90
2025-05-07 18:35:35;24.40
2025-05-07 18:35:34;15.90
2025-05-07 18:35:33;7.40
2025-05-07 18:35:32;1.10
2025-05-07 18:35:31;9.60
2025-05-07 18:35:30;18.10
2025-05-07 18:35:29;26.60
2025-05-07 18:35:28;35.10
2025-05-07 18:35:27;43.60
2025-05-07 18:35:26;52.10
2025-05-07 18:35:25;60.60
2025-05-07 18:35:24;69.10
2025-05-07 18:35:23;77.60
2025-05-07 18:35:22;86.10
2025-05-07 18:35:21;94.60
2025-05-07 18:35:20;96.88
2025-05-07 18:35:19;88.38
2025-05-07 18:35:18;79.88
2025-05-07 18:35:17;71.38
2025-05-07 18:35:16;62.88
2025-05-07 18:35:15;54.38
2025-05-07 18:35:14;45.88
2025-05-07 18:35:13;37.38
2025-05-07 18:35:12;28.88
2025-05-07 18:35:11;20.38
2025-05-07 18:35:10;11.88
2025-05-07 18:35:09;3.38
2025-05-07 18:35:08;5.12
2025-05-07 18:35:07;13.62
2025-05-07 18:35:06;22.12
2025-05-07 18:35:05;30.62
2025-05-07 18:35:04;39.12
2025-05-07 18:35:03;47.62
2025-05-07 18:35:02;56.12
2025-05-07 18:35:01;64.62
2025-05-07 18:35:00;73.12
2025-05-07 18:34:59;81.62
2025-05-07 18:34:58;90.12
2025-05-07 18:34:57;98.62
2025-05-07 18:34:56;92.86
2025-05-07 18:34:55;84.36
2025-05-07 18:34:54;75.86
2025-05-07 18:34:53;67.36
2025-05-07 18:34:52;58.86
2025-05-07 18:34:51;50.36
2025-05-07 18:34:50;41.86
2025-05-07 18:34:49;33.36
2025-05-07 18:34:48;24.86
2025-05-07 18:34:47;16.36
2025-05-07 18:34:46;7.86
2025-05-07 18:34:45;0.64
2025-05-07 18:34:44;9.14
2025-05-07 18:34:43;17.64
2025-05-07 18:34:42;26.14
2025-05-07 18:34:41;34.64
2025-05-07 18:34:40;43.14
2025-05-07 18:34:39;51.64
2025-05-07 18:34:38;60.14
2025-05-07 18:34:37;68.64
2025-05-07 18:34:36;77.14
2025-05-07 18:34:35;85.64
2025-05-07 18:34:34;94.14
2025-05-07 18:34:33;97.34
2025-05-07 18:34:32;88.84
2025-05-07 18:34:31;80.34
2025-05-07 18:34:30;71.84
2025-05-07 18:34:29;63.34
2025-05-07 18:34:28;54.84
2025-05-07 18:34:27;46.34
