Fecha y Hora;PIT-301B - Presión salida bomba B-301B
2025-05-07 18:36:26;53.64
2025-05-07 18:36:25;45.14
2025-05-07 18:36:24;36.64
2025-05-07 18:36:23;28.14
2025-05-07 18:36:22;19.64
2025-05-07 18:36:21;11.14
2025-05-07 18:36:20;2.64
2025-05-07 18:36:19;5.86
2025-05-07 18:36:18;14.36
2025-05-07 18:36:17;22.86
2025-05-07 18:36:16;31.36
2025-05-07 18:36:15;39.86
2025-05-07 18:36:14;48.36
2025-05-07 18:36:13;56.86
2025-05-07 18:36:12;65.36
2025-05-07 18:36:11;73.86
2025-05-07 18:36:10;82.36
2025-05-07 18:36:09;90.86
2025-05-07 18:36:08;99.36
2025-05-07 18:36:07;92.12
2025-05-07 18:36:06;83.62
2025-05-07 18:36:05;75.12
2025-05-07 18:36:04;66.62
2025-05-07 18:36:03;58.12
2025-05-07 18:36:02;49.62
2025-05-07 18:36:01;41.12
2025-05-07 18:36:00;32.62
2025-05-07 18:35:59;24.12
2025-05-07 18:35:58;15.62
2025-05-07 18:35:57;7.12
2025-05-07 18:35:56;1.38
2025-05-07 18:35:55;9.88
2025-05-07 18:35:54;18.38
2025-05-07 18:35:53;26.88
2025-05-07 18:35:52;35.38
2025-05-07 18:35:51;43.88
2025-05-07 18:35:50;52.38
2025-05-07 18:35:49;60.88
2025-05-07 18:35:48;69.38
2025-05-07 18:35:47;77.88
2025-05-07 18:35:46;86.38
2025-05-07 18:35:45;94.88
2025-05-07 18:35:44;96.60
2025-05-07 18:35:43;88.10
2025-05-07 18:35:42;79.60
2025-05-07 18:35:41;71.10
2025-05-07 18:35:40;62.60
2025-05-07 18:35:39;54.10
2025-05-07 18:35:38;45.60
2025-05-07 18:35:37;37.10
2025-05-07 18:35:36;28.60
2025-05-07 18:35:35;20.10
2025-05-07 18:35:34;11.60
2025-05-07 18:35:33;3.10
2025-05-07 18:35:32;5.40
2025-05-07 18:35:31;13.90
2025-05-07 18:35:30;22.40
2025-05-07 18:35:29;30.90
2025-05-07 18:35:28;39.40
2025-05-07 18:35:27;47.90
2025-05-07 18:35:26;56.40
2025-05-07 18:35:25;64.90
2025-05-07 18:35:24;73.40
2025-05-07 18:35:23;81.90
2025-05-07 18:35:22;90.40
2025-05-07 18:35:21;98.90
2025-05-07 18:35:20;92.58
2025-05-07 18:35:19;84.08
2025-05-07 18:35:18;75.58
2025-05-07 18:35:17;67.08
2025-05-07 18:35:16;58.58
2025-05-07 18:35:15;50.08
2025-05-07 18:35:14;41.58
2025-05-07 18:35:13;33.08
2025-05-07 18:35:12;24.58
2025-05-07 18:35:11;16.08
2025-05-07 18:35:10;7.58
2025-05-07 18:35:09;0.92
2025-05-07 18:35:08;9.42
2025-05-07 18:35:07;17.92
2025-05-07 18:35:06;26.42
2025-05-07 18:35:05;34.92
2025-05-07 18:35:04;43.42
2025-05-07 18:35:03;51.92
2025-05-07 18:35:02;60.42
2025-05-07 18:35:01;68.92
2025-05-07 18:35:00;77.42
2025-05-07 18:34:59;85.92
2025-05-07 18:34:58;94.42
2025-05-07 18:34:57;97.06
2025-05-07 18:34:56;88.56
2025-05-07 18:34:55;80.06
2025-05-07 18:34:54;71.56
2025-05-07 18:34:53;63.06
2025-05-07 18:34:52;54.56
2025-05-07 18:34:51;46.06
2025-05-07 18:34:50;37.56
2025-05-07 18:34:49;29.06
2025-05-07 18:34:48;20.56
2025-05-07 18:34:47;12.06
2025-05-07 18:34:46;3.56
2025-05-07 18:34:45;4.94
2025-05-07 18:34:44;13.44
2025-05-07 18:34:43;21.94
2025-05-07 18:34:42;30.44
2025-05-07 18:34:41;38.94
2025-05-07 18:34:40;47.44
2025-05-07 18:34:39;55.94
2025-05-07 18:34:38;64.44
2025-05-07 18:34:37;72.94
2025-05-07 18:34:36;81.44
2025-05-07 18:34:35;89.94
2025-05-07 18:34:34;98.44
2025-05-07 18:34:33;93.04
2025-05-07 18:34:32;84.54
2025-05-07 18:34:31;76.04
2025-05-07 18:34:30;67.54
2025-05-07 18:34:29;59.04
2025-05-07 18:34:28;50.54
2025-05-07 18:34:27;42.04
2025-05-07 18:34:26;33.54
2025-05-07 18:34:25;25.04
2025-05-07 18:34:24;16.54
2025-05-07 18:34:23;8.04
2025-05-07 18:34:22;0.46
2025-05-07 18:34:21;8.96
2025-05-07 18:34:20;17.46
2025-05-07 18:34:19;25.96
2025-05-07 18:34:18;34.46
2025-05-07 18:34:17;42.96
2025-05-07 18:34:16;51.46
2025-05-07 18:34:15;59.96
2025-05-07 18:34:14;68.46
2025-05-07 18:34:13;76.96
2025-05-07 18:34:12;85.46
2025-05-07 18:34:11;93.96
2025-05-07 18:34:10;97.52
2025-05-07 18:34:09;89.02
2025-05-07 18:34:08;80.52
2025-05-07 18:34:07;72.02
2025-05-07 18:34:06;63.52
2025-05-07 18:34:05;55.02
2025-05-07 18:34:04;46.52
2025-05-07 18:34:03;38.02
2025-05-07 18:34:02;29.52
2025-05-07 18:34:01;21.02
