Fecha y Hora;PIT-402A - Presión salida bomba B-402A
2025-05-07 18:36:26;53.65
2025-05-07 18:36:25;45.15
2025-05-07 18:36:24;36.65
2025-05-07 18:36:23;28.15
2025-05-07 18:36:22;19.65
2025-05-07 18:36:21;11.15
2025-05-07 18:36:20;2.65
2025-05-07 18:36:19;5.85
2025-05-07 18:36:18;14.35
2025-05-07 18:36:17;22.85
2025-05-07 18:36:16;31.35
2025-05-07 18:36:15;39.85
2025-05-07 18:36:14;48.35
2025-05-07 18:36:13;56.85
2025-05-07 18:36:12;65.35
2025-05-07 18:36:11;73.85
2025-05-07 18:36:10;82.35
2025-05-07 18:36:09;90.85
2025-05-07 18:36:08;99.35
2025-05-07 18:36:07;92.13
2025-05-07 18:36:06;83.63
2025-05-07 18:36:05;75.13
2025-05-07 18:36:04;66.63
2025-05-07 18:36:03;58.13
2025-05-07 18:36:02;49.63
2025-05-07 18:36:01;41.13
2025-05-07 18:36:00;32.63
2025-05-07 18:35:59;24.13
2025-05-07 18:35:58;15.63
2025-05-07 18:35:57;7.13
2025-05-07 18:35:56;1.37
2025-05-07 18:35:55;9.87
2025-05-07 18:35:54;18.37
2025-05-07 18:35:53;26.87
2025-05-07 18:35:52;35.37
2025-05-07 18:35:51;43.87
2025-05-07 18:35:50;52.37
2025-05-07 18:35:49;60.87
2025-05-07 18:35:48;69.37
2025-05-07 18:35:47;77.87
2025-05-07 18:35:46;86.37
2025-05-07 18:35:45;94.87
2025-05-07 18:35:44;96.61
2025-05-07 18:35:43;88.11
2025-05-07 18:35:42;79.61
2025-05-07 18:35:41;71.11
2025-05-07 18:35:40;62.61
2025-05-07 18:35:39;54.11
2025-05-07 18:35:38;45.61
2025-05-07 18:35:37;37.11
2025-05-07 18:35:36;28.61
2025-05-07 18:35:35;20.11
2025-05-07 18:35:34;11.61
2025-05-07 18:35:33;3.11
2025-05-07 18:35:32;5.39
2025-05-07 18:35:31;13.89
2025-05-07 18:35:30;22.39
2025-05-07 18:35:29;30.89
2025-05-07 18:35:28;39.39
2025-05-07 18:35:27;47.89
2025-05-07 18:35:26;56.39
2025-05-07 18:35:25;64.89
2025-05-07 18:35:24;73.39
2025-05-07 18:35:23;81.89
2025-05-07 18:35:22;90.39
2025-05-07 18:35:21;98.89
2025-05-07 18:35:20;92.59
2025-05-07 18:35:19;84.09
2025-05-07 18:35:18;75.59
2025-05-07 18:35:17;67.09
2025-05-07 18:35:16;58.59
2025-05-07 18:35:15;50.09
2025-05-07 18:35:14;41.59
2025-05-07 18:35:13;33.09
2025-05-07 18:35:12;24.59
2025-05-07 18:35:11;16.09
2025-05-07 18:35:10;7.59
2025-05-07 18:35:09;0.91
2025-05-07 18:35:08;9.41
2025-05-07 18:35:07;17.91
