Fecha y Hora;TT-102 - Temperatura estator bomba B-102
2025-05-07 18:36:26;58.03
2025-05-07 18:36:25;49.53
2025-05-07 18:36:24;41.03
2025-05-07 18:36:23;32.53
2025-05-07 18:36:22;24.03
2025-05-07 18:36:21;15.53
2025-05-07 18:36:20;7.03
2025-05-07 18:36:19;1.47
2025-05-07 18:36:18;9.97
2025-05-07 18:36:17;18.47
2025-05-07 18:36:16;26.97
2025-05-07 18:36:15;35.47
2025-05-07 18:36:14;43.97
2025-05-07 18:36:13;52.47
2025-05-07 18:36:12;60.97
2025-05-07 18:36:11;69.47
2025-05-07 18:36:10;77.97
2025-05-07 18:36:09;86.47
2025-05-07 18:36:08;94.97
2025-05-07 18:36:07;96.51
2025-05-07 18:36:06;88.01
2025-05-07 18:36:05;79.51
2025-05-07 18:36:04;71.01
2025-05-07 18:36:03;62.51
2025-05-07 18:36:02;54.01
2025-05-07 18:36:01;45.51
2025-05-07 18:36:00;37.01
2025-05-07 18:35:59;28.51
2025-05-07 18:35:58;20.01
2025-05-07 18:35:57;11.51
2025-05-07 18:35:56;3.01
2025-05-07 18:35:55;5.49
2025-05-07 18:35:54;13.99
2025-05-07 18:35:53;22.49
2025-05-07 18:35:52;30.99
2025-05-07 18:35:51;39.49
2025-05-07 18:35:50;47.99
2025-05-07 18:35:49;56.49
2025-05-07 18:35:48;64.99
2025-05-07 18:35:47;73.49
2025-05-07 18:35:46;81.99
2025-05-07 18:35:45;90.49
2025-05-07 18:35:44;98.99
2025-05-07 18:35:43;92.49
2025-05-07 18:35:42;83.99
2025-05-07 18:35:41;75.49
2025-05-07 18:35:40;66.99
2025-05-07 18:35:39;58.49
2025-05-07 18:35:38;49.99
2025-05-07 18:35:37;41.49
2025-05-07 18:35:36;32.99
2025-05-07 18:35:35;24.49
2025-05-07 18:35:34;15.99
2025-05-07 18:35:33;7.49
2025-05-07 18:35:32;1.01
2025-05-07 18:35:31;9.51
2025-05-07 18:35:30;18.01
2025-05-07 18:35:29;26.51
2025-05-07 18:35:28;35.01
2025-05-07 18:35:27;43.51
2025-05-07 18:35:26;52.01
2025-05-07 18:35:25;60.51
2025-05-07 18:35:24;69.01
2025-05-07 18:35:23;77.51
2025-05-07 18:35:22;86.01
2025-05-07 18:35:21;94.51
2025-05-07 18:35:20;96.97
2025-05-07 18:35:19;88.47
2025-05-07 18:35:18;79.97
2025-05-07 18:35:17;71.47
2025-05-07 18:35:16;62.97
2025-05-07 18:35:15;54.47
2025-05-07 18:35:14;45.97
2025-05-07 18:35:13;37.47
2025-05-07 18:35:12;28.97
2025-05-07 18:35:11;20.47
2025-05-07 18:35:10;11.97
2025-05-07 18:35:09;3.47
2025-05-07 18:35:08;5.03
2025-05-07 18:35:07;13.53
2025-05-07 18:35:06;22.03
2025-05-07 18:35:05;30.53
2025-05-07 18:35:04;39.03
2025-05-07 18:35:03;47.53
2025-05-07 18:35:02;56.03
2025-05-07 18:35:01;64.53
2025-05-07 18:35:00;73.03
2025-05-07 18:34:59;81.53
