Fecha y Hora;CV-2042 - Válvula control alimentación vapor arranque
2025-05-08 13:27:39;17.38
2025-05-08 13:27:38;22.38
2025-05-08 13:27:37;29.63
2025-05-08 13:27:36;79.88
2025-05-08 13:27:35;55.88
2025-05-08 13:27:34;11.13
2025-05-08 13:27:33;93.88
2025-05-08 13:27:32;15.13
2025-05-08 13:27:31;1.13
2025-05-08 13:27:30;30.63
2025-05-08 13:27:29;85.38
2025-05-08 13:27:28;61.38
2025-05-08 13:27:27;83.13
2025-05-08 13:27:26;13.38
2025-05-08 13:27:25;9.88
2025-05-08 13:27:24;3.88
2025-05-08 13:27:23;61.88
2025-05-08 13:27:22;37.38
2025-05-08 13:27:21;89.38
2025-05-08 13:27:20;87.13
2025-05-08 13:27:19;51.38
2025-05-08 13:27:18;60.88
2025-05-08 13:27:17;53.63
2025-05-08 13:27:16;11.13
2025-05-08 13:27:15;27.88
2025-05-08 13:27:14;84.88
2025-05-08 13:27:13;73.13
2025-05-08 13:27:12;36.88
2025-05-08 13:27:11;15.63
2025-05-08 13:27:10;51.88
2025-05-08 13:27:09;51.38
2025-05-08 13:27:08;35.13
2025-05-08 13:27:07;56.38
2025-05-08 13:27:06;84.88
2025-05-08 13:27:05;53.63
2025-05-08 13:27:04;6.13
2025-05-08 13:27:03;65.88
2025-05-08 13:27:02;46.88
2025-05-08 13:27:01;30.13
2025-05-08 13:27:00;58.63
2025-05-08 13:26:59;94.38
2025-05-08 13:26:58;41.88
2025-05-08 13:26:57;46.88
2025-05-08 13:26:56;46.88
2025-05-08 13:26:55;87.13
2025-05-08 13:26:54;48.88
2025-05-08 13:26:53;90.88
2025-05-08 13:26:52;91.38
2025-05-08 13:26:51;92.63
2025-05-08 13:26:50;94.88
2025-05-08 13:26:49;70.88
2025-05-08 13:26:48;70.88
2025-05-08 13:26:47;18.88
2025-05-08 13:26:46;51.88
2025-05-08 13:26:45;56.88
2025-05-08 13:26:44;61.38
2025-05-08 13:26:43;73.63
2025-05-08 13:26:42;97.63
2025-05-08 13:26:41;89.88
2025-05-08 13:26:40;35.63
2025-05-08 13:26:39;42.38
2025-05-08 13:26:38;48.38
2025-05-08 13:26:37;34.38
2025-05-08 13:26:36;29.38
2025-05-08 13:26:35;9.88
2025-05-08 13:26:34;93.13
2025-05-08 13:26:33;93.13
2025-05-08 13:26:32;97.63
2025-05-08 13:26:31;37.88
2025-05-08 13:26:30;69.13
2025-05-08 13:26:29;4.88
2025-05-08 13:26:28;57.38
2025-05-08 13:26:27;50.13
2025-05-08 13:26:26;7.13
2025-05-08 13:26:25;83.13
2025-05-08 13:26:24;66.38
2025-05-08 13:26:23;28.88
2025-05-08 13:26:22;53.88
2025-05-08 13:26:21;68.38
2025-05-08 13:26:20;18.13
2025-05-08 13:26:19;57.88
2025-05-08 13:26:18;7.63
2025-05-08 13:26:17;85.88
2025-05-08 13:26:16;74.13
2025-05-08 13:26:15;0.38
2025-05-08 13:26:14;81.38
2025-05-08 13:26:13;95.38
2025-05-08 13:26:12;24.38
2025-05-08 13:26:11;12.13
2025-05-08 13:26:10;88.63
2025-05-08 13:26:09;7.63
2025-05-08 13:26:08;14.88
2025-05-08 13:26:07;33.88
2025-05-08 13:26:06;93.13
2025-05-08 13:26:05;64.63
2025-05-08 13:26:04;10.38
2025-05-08 13:26:03;98.13
2025-05-08 13:26:02;55.13
2025-05-08 13:26:01;98.13
2025-05-08 13:26:00;19.38
2025-05-08 13:25:59;28.88
2025-05-08 13:25:58;86.38
2025-05-08 13:25:57;31.63
2025-05-08 13:25:56;33.88
2025-05-08 13:25:55;86.38
2025-05-08 13:25:54;3.13
2025-05-08 13:25:53;41.13
2025-05-08 13:25:52;60.13
2025-05-08 13:25:51;29.38
2025-05-08 13:25:50;63.38
2025-05-08 13:25:49;16.38
2025-05-08 13:25:48;42.63
2025-05-08 13:25:47;22.63
2025-05-08 13:25:46;27.63
2025-05-08 13:25:45;30.38
2025-05-08 13:25:44;51.13
2025-05-08 13:25:43;99.13
2025-05-08 13:25:42;1.38
2025-05-08 13:25:41;98.63
2025-05-08 13:25:40;89.13
2025-05-08 13:25:39;24.38
2025-05-08 13:25:38;37.13
2025-05-08 13:25:37;82.38
2025-05-08 13:25:36;60.63
2025-05-08 13:25:35;32.13
2025-05-08 13:25:34;53.38
2025-05-08 13:25:33;81.88
2025-05-08 13:25:32;60.63
2025-05-08 13:25:31;86.88
2025-05-08 13:25:30;13.13
