Fecha y Hora;CV-3022 - Válvula control temperatura salida X-302
2025-05-08 13:27:39;73.13
2025-05-08 13:27:38;89.88
2025-05-08 13:27:37;6.63
2025-05-08 13:27:36;94.88
2025-05-08 13:27:35;32.88
2025-05-08 13:27:34;16.63
2025-05-08 13:27:33;21.13
2025-05-08 13:27:32;51.88
2025-05-08 13:27:31;70.88
2025-05-08 13:27:30;45.63
2025-05-08 13:27:29;90.88
2025-05-08 13:27:28;31.13
2025-05-08 13:27:27;0.88
2025-05-08 13:27:26;50.13
2025-05-08 13:27:25;70.13
2025-05-08 13:27:24;40.63
2025-05-08 13:27:23;43.88
2025-05-08 13:27:22;59.63
2025-05-08 13:27:21;80.88
2025-05-08 13:27:20;9.38
2025-05-08 13:27:19;56.88
2025-05-08 13:27:18;7.13
2025-05-08 13:27:17;90.38
2025-05-08 13:27:16;59.63
2025-05-08 13:27:15;50.13
2025-05-08 13:27:14;35.63
2025-05-08 13:27:13;95.38
2025-05-08 13:27:12;64.13
2025-05-08 13:27:11;97.63
2025-05-08 13:27:10;21.63
2025-05-08 13:27:09;33.38
2025-05-08 13:27:08;57.38
2025-05-08 13:27:07;61.88
2025-05-08 13:27:06;35.63
2025-05-08 13:27:05;45.13
2025-05-08 13:27:04;33.38
2025-05-08 13:27:03;88.13
2025-05-08 13:27:02;52.38
2025-05-08 13:27:01;42.88
2025-05-08 13:27:00;26.13
2025-05-08 13:26:59;85.88
2025-05-08 13:26:58;78.63
2025-05-08 13:26:57;74.13
2025-05-08 13:26:56;83.63
2025-05-08 13:26:55;2.13
2025-05-08 13:26:54;16.38
2025-05-08 13:26:53;58.38
2025-05-08 13:26:52;96.88
2025-05-08 13:26:51;14.88
2025-05-08 13:26:50;0.38
2025-05-08 13:26:49;88.63
2025-05-08 13:26:48;7.63
2025-05-08 13:26:47;41.13
2025-05-08 13:26:46;33.88
2025-05-08 13:26:45;71.88
2025-05-08 13:26:44;7.63
2025-05-08 13:26:43;79.13
2025-05-08 13:26:42;19.88
2025-05-08 13:26:41;7.63
2025-05-08 13:26:40;50.63
2025-05-08 13:26:39;41.13
2025-05-08 13:26:38;8.63
2025-05-08 13:26:37;39.88
2025-05-08 13:26:36;34.88
2025-05-08 13:26:35;46.63
2025-05-08 13:26:34;29.88
2025-05-08 13:26:33;15.38
2025-05-08 13:26:32;19.88
2025-05-08 13:26:31;43.38
2025-05-08 13:26:30;91.38
2025-05-08 13:26:29;27.13
2025-05-08 13:26:28;62.88
2025-05-08 13:26:27;10.38
2025-05-08 13:26:26;79.63
2025-05-08 13:26:25;19.88
2025-05-08 13:26:24;48.38
2025-05-08 13:26:23;89.13
2025-05-08 13:26:22;59.38
2025-05-08 13:26:21;73.88
2025-05-08 13:26:20;0.13
2025-05-08 13:26:19;18.13
2025-05-08 13:26:18;77.38
2025-05-08 13:26:17;86.88
2025-05-08 13:26:16;24.88
2025-05-08 13:26:15;60.63
2025-05-08 13:26:14;86.88
2025-05-08 13:26:13;67.88
2025-05-08 13:26:12;84.63
2025-05-08 13:26:11;39.38
2025-05-08 13:26:10;48.88
2025-05-08 13:26:09;20.38
2025-05-08 13:26:08;63.38
2025-05-08 13:26:07;37.13
2025-05-08 13:26:06;75.13
2025-05-08 13:26:05;24.88
2025-05-08 13:26:04;15.88
2025-05-08 13:26:03;3.63
2025-05-08 13:26:02;15.38
2025-05-08 13:26:01;58.38
2025-05-08 13:26:00;56.13
2025-05-08 13:25:59;65.63
2025-05-08 13:25:58;91.88
2025-05-08 13:25:57;37.13
2025-05-08 13:25:56;56.13
2025-05-08 13:25:55;53.88
2025-05-08 13:25:54;8.63
2025-05-08 13:25:53;77.88
2025-05-08 13:25:52;15.88
2025-05-08 13:25:51;51.63
2025-05-08 13:25:50;30.88
2025-05-08 13:25:49;67.13
2025-05-08 13:25:48;48.13
2025-05-08 13:25:47;99.63
2025-05-08 13:25:46;87.88
2025-05-08 13:25:45;81.13
2025-05-08 13:25:44;23.63
2025-05-08 13:25:43;81.13
2025-05-08 13:25:42;52.13
2025-05-08 13:25:41;66.13
2025-05-08 13:25:40;4.13
2025-05-08 13:25:39;42.13
2025-05-08 13:25:38;6.88
2025-05-08 13:25:37;42.63
2025-05-08 13:25:36;9.13
2025-05-08 13:25:35;9.13
2025-05-08 13:25:34;80.63
2025-05-08 13:25:33;85.13
2025-05-08 13:25:32;92.38
2025-05-08 13:25:31;35.38
2025-05-08 13:25:30;80.63
2025-05-08 13:25:29;23.63
2025-05-08 13:25:28;35.38
2025-05-08 13:25:27;42.63
2025-05-08 13:25:26;95.13
2025-05-08 13:25:25;80.63
2025-05-08 13:25:24;83.38
2025-05-08 13:25:23;28.63
2025-05-08 13:25:22;28.63
2025-05-08 13:25:21;76.13
2025-05-08 13:25:20;92.88
2025-05-08 13:25:19;-83.58
2025-05-08 13:25:18;-45.58
2025-05-08 13:25:17;60.38
2025-05-08 13:25:16;57.13
2025-05-08 13:25:15;64.38
2025-05-08 13:25:14;71.63
2025-05-08 13:25:13;95.13
2025-05-08 13:25:12;40.38
2025-05-08 13:25:11;57.13
2025-05-08 13:25:10;21.38
2025-05-08 13:25:09;26.38
2025-05-08 13:25:08;30.88
2025-05-08 13:25:07;7.38
2025-05-08 13:25:06;36.38
2025-05-08 13:25:05;59.88
2025-05-08 13:25:04;35.88
2025-05-08 13:25:03;14.63
2025-05-08 13:25:02;62.13
2025-05-08 13:25:01;83.38
2025-05-08 13:25:00;52.63
2025-05-08 13:24:59;59.88
2025-05-08 13:24:58;81.13
2025-05-08 13:24:57;86.13
2025-05-08 13:24:56;62.13
2025-05-08 13:24:55;43.13
2025-05-08 13:24:54;-40.58
2025-05-08 13:24:53;39.13
2025-05-08 13:24:52;-19.33
2025-05-08 13:24:51;74.88
2025-05-08 13:24:50;-42.83
2025-05-08 13:24:49;83.88
2025-05-08 13:24:48;31.88
2025-05-08 13:24:47;-23.33
2025-05-08 13:24:46;-2.58
2025-05-08 13:24:45;-97.08
2025-05-08 13:24:44;7.88
2025-05-08 13:24:43;55.38
2025-05-08 13:24:42;26.88
2025-05-08 13:24:41;10.13
2025-05-08 13:24:40;67.13
2025-05-08 13:24:39;48.13
2025-05-08 13:24:38;58.13
2025-05-08 13:24:37;45.88
2025-05-08 13:24:36;31.38
2025-05-08 13:24:35;72.13
2025-05-08 13:24:34;45.88
2025-05-08 13:24:33;41.38
2025-05-08 13:24:32;7.88
2025-05-08 13:24:31;19.63
2025-05-08 13:24:30;0.63
2025-05-08 13:24:29;79.38
2025-05-08 13:24:28;69.88
2025-05-08 13:24:27;74.88
2025-05-08 13:24:26;67.63
2025-05-08 13:24:25;93.88
2025-05-08 13:24:24;5.63
2025-05-08 13:24:23;-45.58
2025-05-08 13:24:22;58.13
2025-05-08 13:24:21;3.38
2025-05-08 13:24:20;-21.58
2025-05-08 13:24:19;48.63
2025-05-08 13:24:18;-71.83
2025-05-08 13:24:17;-19.33
2025-05-08 13:24:16;-4.83
2025-05-08 13:24:15;-46.33
2025-05-08 13:24:14;-98.83
2025-05-08 13:24:13;39.13
2025-05-08 13:24:12;-28.83
2025-05-08 13:24:11;-0.33
2025-05-08 13:24:10;-64.58
2025-05-08 13:24:09;-90.83
2025-05-08 13:24:08;-26.58
2025-05-08 13:24:07;-36.08
2025-05-08 13:24:06;-59.58
2025-05-08 13:24:05;-76.33
2025-05-08 13:24:04;-59.58
2025-05-08 13:24:03;-93.08
2025-05-08 13:24:02;-13.83
2025-05-08 13:24:01;-80.33
2025-05-08 13:24:00;-96.58
2025-05-08 13:23:59;-78.08
2025-05-08 13:23:58;-80.83
2025-05-08 13:23:57;-93.08
2025-05-08 13:23:56;-50.08
2025-05-08 13:23:55;-2.58
2025-05-08 13:23:54;-93.08
2025-05-08 13:23:53;-23.83
2025-05-08 13:23:52;-5.58
2025-05-08 13:23:51;-52.33
2025-05-08 13:23:50;-14.33
2025-05-08 13:23:49;-18.83
2025-05-08 13:23:48;-18.83
2025-05-08 13:23:47;-66.33
2025-05-08 13:23:46;-73.58
2025-05-08 13:23:45;-52.33
2025-05-08 13:23:44;-21.83
2025-05-08 13:23:43;-23.33
2025-05-08 13:23:42;-26.83
2025-05-08 13:23:41;-13.83
2025-05-08 13:23:40;-78.08
2025-05-08 13:23:39;-26.08
2025-05-08 13:23:38;-7.08
2025-05-08 13:23:37;-4.33
2025-05-08 13:23:36;-23.33
2025-05-08 13:23:35;-30.58
2025-05-08 13:23:34;-66.33
2025-05-08 13:23:33;-23.33
2025-05-08 13:23:32;-2.08
2025-05-08 13:23:31;-61.33
2025-05-08 13:23:30;-2.08
