Fecha y Hora;CV-3023 - Válvula control presión entrada R-303
2025-05-08 13:27:39;78.63
2025-05-08 13:27:38;71.88
2025-05-08 13:27:37;98.13
2025-05-08 13:27:36;67.38
2025-05-08 13:27:35;24.38
2025-05-08 13:27:34;86.38
2025-05-08 13:27:33;43.38
2025-05-08 13:27:32;57.38
2025-05-08 13:27:31;33.88
2025-05-08 13:27:30;27.63
2025-05-08 13:27:29;91.88
2025-05-08 13:27:28;58.38
2025-05-08 13:27:27;6.38
2025-05-08 13:27:26;55.63
2025-05-08 13:27:25;25.88
2025-05-08 13:27:24;46.13
2025-05-08 13:27:23;4.13
2025-05-08 13:27:22;41.63
2025-05-08 13:27:21;86.38
2025-05-08 13:27:20;91.38
2025-05-08 13:27:19;26.63
2025-05-08 13:27:18;12.63
2025-05-08 13:27:17;5.38
2025-05-08 13:27:16;96.38
2025-05-08 13:27:15;32.13
2025-05-08 13:27:14;36.63
2025-05-08 13:27:13;32.13
2025-05-08 13:27:12;69.63
2025-05-08 13:27:11;3.13
2025-05-08 13:27:10;94.13
2025-05-08 13:27:09;93.63
2025-05-08 13:27:08;29.88
2025-05-08 13:27:07;22.13
2025-05-08 13:27:06;50.63
2025-05-08 13:27:05;50.63
2025-05-08 13:27:04;27.13
2025-05-08 13:27:03;70.13
2025-05-08 13:27:02;22.13
2025-05-08 13:27:01;70.13
2025-05-08 13:27:00;53.38
2025-05-08 13:26:59;91.38
2025-05-08 13:26:58;84.13
2025-05-08 13:26:57;96.38
2025-05-08 13:26:56;43.88
2025-05-08 13:26:55;74.63
2025-05-08 13:26:54;79.38
2025-05-08 13:26:53;30.88
2025-05-08 13:26:52;97.88
2025-05-08 13:26:51;96.88
2025-05-08 13:26:50;1.38
2025-05-08 13:26:49;56.13
2025-05-08 13:26:48;58.38
2025-05-08 13:26:47;68.38
2025-05-08 13:26:46;94.13
2025-05-08 13:26:45;27.63
2025-05-08 13:26:44;67.88
2025-05-08 13:26:43;48.88
2025-05-08 13:26:42;56.63
2025-05-08 13:26:41;29.88
2025-05-08 13:26:40;23.13
2025-05-08 13:26:39;63.38
2025-05-08 13:26:38;9.63
2025-05-08 13:26:37;54.88
2025-05-08 13:26:36;35.88
2025-05-08 13:26:35;6.88
2025-05-08 13:26:34;44.88
2025-05-08 13:26:33;78.38
2025-05-08 13:26:32;56.63
2025-05-08 13:26:31;89.63
2025-05-08 13:26:30;18.63
2025-05-08 13:26:29;54.38
2025-05-08 13:26:28;77.88
2025-05-08 13:26:27;56.63
2025-05-08 13:26:26;39.88
2025-05-08 13:26:25;25.38
2025-05-08 13:26:24;53.88
2025-05-08 13:26:23;44.88
2025-05-08 13:26:22;19.63
2025-05-08 13:26:21;20.13
2025-05-08 13:26:20;60.38
2025-05-08 13:26:19;64.38
2025-05-08 13:26:18;95.13
2025-05-08 13:26:17;37.63
2025-05-08 13:26:16;39.88
2025-05-08 13:26:15;6.88
2025-05-08 13:26:14;87.88
2025-05-08 13:26:13;44.88
2025-05-08 13:26:12;40.38
2025-05-08 13:26:11;61.63
2025-05-08 13:26:10;95.13
2025-05-08 13:26:09;90.13
2025-05-08 13:26:08;90.63
2025-05-08 13:26:07;28.63
2025-05-08 13:26:06;35.38
2025-05-08 13:26:05;25.88
2025-05-08 13:26:04;85.63
2025-05-08 13:26:03;18.63
2025-05-08 13:26:02;16.38
2025-05-08 13:26:01;59.38
2025-05-08 13:26:00;61.63
2025-05-08 13:25:59;25.88
2025-05-08 13:25:58;47.63
2025-05-08 13:25:57;97.38
2025-05-08 13:25:56;92.88
2025-05-08 13:25:55;68.88
2025-05-08 13:25:54;9.63
2025-05-08 13:25:53;38.13
2025-05-08 13:25:52;66.63
2025-05-08 13:25:51;78.88
2025-05-08 13:25:50;12.88
2025-05-08 13:25:49;-36.08
2025-05-08 13:25:48;-23.83
2025-05-08 13:25:47;81.63
2025-05-08 13:25:46;88.88
2025-05-08 13:25:45;96.13
2025-05-08 13:25:44;0.63
2025-05-08 13:25:43;86.63
2025-05-08 13:25:42;67.13
2025-05-08 13:25:41;48.13
2025-05-08 13:25:40;76.63
2025-05-08 13:25:39;64.38
2025-05-08 13:25:38;24.63
2025-05-08 13:25:37;43.63
2025-05-08 13:25:36;45.88
2025-05-08 13:25:35;91.13
2025-05-08 13:25:34;86.13
2025-05-08 13:25:33;57.63
2025-05-08 13:25:32;29.13
2025-05-08 13:25:31;17.38
2025-05-08 13:25:30;17.38
2025-05-08 13:25:29;5.63
2025-05-08 13:25:28;31.38
2025-05-08 13:25:27;48.13
2025-05-08 13:25:26;62.63
2025-05-08 13:25:25;72.13
2025-05-08 13:25:24;39.13
2025-05-08 13:25:23;34.13
2025-05-08 13:25:22;-17.08
2025-05-08 13:25:21;12.88
2025-05-08 13:25:20;84.38
2025-05-08 13:25:19;-46.83
2025-05-08 13:25:18;-40.08
2025-05-08 13:25:17;-85.33
2025-05-08 13:25:16;39.13
2025-05-08 13:25:15;-17.08
2025-05-08 13:25:14;-64.58
2025-05-08 13:25:13;64.88
2025-05-08 13:25:12;62.63
2025-05-08 13:25:11;72.13
2025-05-08 13:25:10;67.63
2025-05-08 13:25:09;48.63
2025-05-08 13:25:08;67.63
2025-05-08 13:25:07;-83.58
2025-05-08 13:25:06;-31.08
2025-05-08 13:25:05;-57.33
2025-05-08 13:25:04;-81.33
2025-05-08 13:25:03;-36.08
