Fecha y Hora;CV-3031 - Válvula control nivel R-303
2025-05-08 13:27:39;93.63
2025-05-08 13:27:38;22.63
2025-05-08 13:27:37;13.13
2025-05-08 13:27:36;34.88
2025-05-08 13:27:35;39.38
2025-05-08 13:27:34;58.88
2025-05-08 13:27:33;25.38
2025-05-08 13:27:32;58.38
2025-05-08 13:27:31;10.88
2025-05-08 13:27:30;49.88
2025-05-08 13:27:29;97.38
2025-05-08 13:27:28;80.63
2025-05-08 13:27:27;21.38
2025-05-08 13:27:26;56.63
2025-05-08 13:27:25;31.38
2025-05-08 13:27:24;92.38
2025-05-08 13:27:23;5.13
2025-05-08 13:27:22;47.13
2025-05-08 13:27:21;87.38
2025-05-08 13:27:20;96.88
2025-05-08 13:27:19;44.38
2025-05-08 13:27:18;82.38
2025-05-08 13:27:17;51.63
2025-05-08 13:27:16;1.88
2025-05-08 13:27:15;37.63
2025-05-08 13:27:14;42.13
2025-05-08 13:27:13;37.63
2025-05-08 13:27:12;25.38
2025-05-08 13:27:11;4.13
2025-05-08 13:27:10;71.13
2025-05-08 13:27:09;94.63
2025-05-08 13:27:08;35.38
2025-05-08 13:27:07;39.88
2025-05-08 13:27:06;32.63
2025-05-08 13:27:05;51.63
2025-05-08 13:27:04;63.88
2025-05-08 13:27:03;75.63
2025-05-08 13:27:02;39.88
2025-05-08 13:27:01;30.38
2025-05-08 13:27:00;58.88
2025-05-08 13:26:59;92.38
2025-05-08 13:26:58;30.38
2025-05-08 13:26:57;68.88
2025-05-08 13:26:56;44.88
2025-05-08 13:26:55;96.88
2025-05-08 13:26:54;-88.08
2025-05-08 13:26:53;81.63
2025-05-08 13:26:52;3.38
2025-05-08 13:26:51;57.13
2025-05-08 13:26:50;6.88
2025-05-08 13:26:49;28.63
2025-05-08 13:26:48;14.13
2025-05-08 13:26:47;28.63
2025-05-08 13:26:46;49.88
2025-05-08 13:26:45;33.13
2025-05-08 13:26:44;37.63
2025-05-08 13:26:43;21.38
2025-05-08 13:26:42;16.88
2025-05-08 13:26:41;66.63
2025-05-08 13:26:40;0.13
2025-05-08 13:26:39;0.13
2025-05-08 13:26:38;15.13
2025-05-08 13:26:37;-90.83
2025-05-08 13:26:36;41.38
2025-05-08 13:26:35;62.63
2025-05-08 13:26:34;45.88
2025-05-08 13:26:33;83.88
2025-05-08 13:26:32;62.13
2025-05-08 13:26:31;49.88
2025-05-08 13:26:30;24.13
2025-05-08 13:26:29;5.13
2025-05-08 13:26:28;5.13
2025-05-08 13:26:27;62.13
2025-05-08 13:26:26;9.63
2025-05-08 13:26:25;26.38
2025-05-08 13:26:24;54.88
2025-05-08 13:26:23;5.13
2025-05-08 13:26:22;-26.08
2025-05-08 13:26:21;-92.58
2025-05-08 13:26:20;-11.58
2025-05-08 13:26:19;69.88
2025-05-08 13:26:18;17.38
2025-05-08 13:26:17;7.38
2025-05-08 13:26:16;57.63
2025-05-08 13:26:15;12.38
2025-05-08 13:26:14;38.63
2025-05-08 13:26:13;72.13
2025-05-08 13:26:12;45.88
2025-05-08 13:26:11;88.88
2025-05-08 13:26:10;0.63
2025-05-08 13:26:09;62.63
2025-05-08 13:26:08;12.88
2025-05-08 13:26:07;34.13
2025-05-08 13:26:06;36.38
2025-05-08 13:26:05;31.38
2025-05-08 13:26:04;12.88
2025-05-08 13:26:03;72.13
2025-05-08 13:26:02;67.13
2025-05-08 13:26:01;10.13
2025-05-08 13:26:00;62.63
2025-05-08 13:25:59;26.88
2025-05-08 13:25:58;53.13
2025-05-08 13:25:57;15.13
2025-05-08 13:25:56;98.38
2025-05-08 13:25:55;96.13
2025-05-08 13:25:54;15.13
2025-05-08 13:25:53;84.38
2025-05-08 13:25:52;36.38
2025-05-08 13:25:51;39.13
2025-05-08 13:25:50;-99.83
2025-05-08 13:25:49;-18.33
2025-05-08 13:25:48;-18.33
2025-05-08 13:25:47;-85.83
2025-05-08 13:25:46;-23.83
2025-05-08 13:25:45;-49.58
2025-05-08 13:25:44;-80.83
2025-05-08 13:25:43;-85.33
2025-05-08 13:25:42;-78.58
2025-05-08 13:25:41;-19.33
2025-05-08 13:25:40;-74.08
2025-05-08 13:25:39;-26.58
2025-05-08 13:25:38;-26.08
2025-05-08 13:25:37;-23.83
2025-05-08 13:25:36;-66.83
2025-05-08 13:25:35;-21.58
2025-05-08 13:25:34;-31.08
2025-05-08 13:25:33;-9.83
2025-05-08 13:25:32;-28.83
2025-05-08 13:25:31;-50.08
2025-05-08 13:25:30;-95.33
2025-05-08 13:25:29;-99.83
2025-05-08 13:25:28;-85.83
2025-05-08 13:25:27;-69.08
2025-05-08 13:25:26;-47.33
2025-05-08 13:25:25;-95.33
2025-05-08 13:25:24;-28.33
2025-05-08 13:25:23;-37.83
2025-05-08 13:25:22;-2.08
2025-05-08 13:25:21;-99.83
2025-05-08 13:25:20;-83.08
2025-05-08 13:25:19;-41.33
2025-05-08 13:25:18;-84.33
2025-05-08 13:25:17;-79.83
2025-05-08 13:25:16;-73.58
2025-05-08 13:25:15;-56.83
2025-05-08 13:25:14;-59.08
2025-05-08 13:25:13;-35.58
2025-05-08 13:25:12;-83.08
2025-05-08 13:25:11;-73.58
2025-05-08 13:25:10;-99.83
2025-05-08 13:25:09;-6.58
2025-05-08 13:25:08;-99.83
2025-05-08 13:25:07;-23.33
2025-05-08 13:25:06;-16.08
2025-05-08 13:25:05;-97.08
2025-05-08 13:25:04;-30.58
2025-05-08 13:25:03;-27.83
2025-05-08 13:25:02;-13.83
2025-05-08 13:25:01;-2.08
2025-05-08 13:25:00;-68.58
2025-05-08 13:24:59;-70.83
2025-05-08 13:24:58;-49.58
2025-05-08 13:24:57;-54.08
2025-05-08 13:24:56;-94.83
2025-05-08 13:24:55;-13.83
2025-05-08 13:24:54;-20.08
2025-05-08 13:24:53;-72.58
2025-05-08 13:24:52;-53.58
2025-05-08 13:24:51;-82.08
2025-05-08 13:24:50;-93.33
2025-05-08 13:24:49;-27.83
2025-05-08 13:24:48;-89.33
2025-05-08 13:24:47;-90.58
2025-05-08 13:24:46;-15.08
2025-05-08 13:24:45;-9.58
2025-05-08 13:24:44;-32.33
2025-05-08 13:24:43;-11.08
