Fecha y Hora;CV-3042 - Válvula control presión S-304
2025-05-08 13:27:39;-51.83
2025-05-08 13:27:38;-56.33
2025-05-08 13:27:37;-65.83
2025-05-08 13:27:36;-34.58
2025-05-08 13:27:35;-94.33
2025-05-08 13:27:34;-48.58
2025-05-08 13:27:33;-56.33
2025-05-08 13:27:32;-80.33
2025-05-08 13:27:31;-58.58
2025-05-08 13:27:30;-2.83
2025-05-08 13:27:29;-74.33
2025-05-08 13:27:28;-98.33
2025-05-08 13:27:27;-52.58
2025-05-08 13:27:26;-40.33
2025-05-08 13:27:25;-40.33
2025-05-08 13:27:24;-46.33
2025-05-08 13:27:23;-52.58
2025-05-08 13:27:22;-31.83
2025-05-08 13:27:21;-60.83
2025-05-08 13:27:20;-72.58
2025-05-08 13:27:19;-72.58
2025-05-08 13:27:18;-63.08
2025-05-08 13:27:17;-51.33
2025-05-08 13:27:16;-22.33
2025-05-08 13:27:15;-31.83
2025-05-08 13:27:14;-39.08
2025-05-08 13:27:13;-86.58
2025-05-08 13:27:12;-87.08
2025-05-08 13:27:11;-98.83
2025-05-08 13:27:10;-53.08
2025-05-08 13:27:09;-98.83
2025-05-08 13:27:08;-0.58
2025-05-08 13:27:07;-77.08
2025-05-08 13:27:06;-74.83
2025-05-08 13:27:05;-6.08
2025-05-08 13:27:04;-82.08
2025-05-08 13:27:03;-69.83
2025-05-08 13:27:02;-12.83
2025-05-08 13:27:01;-84.33
2025-05-08 13:27:00;-20.08
2025-05-08 13:26:59;-10.58
2025-05-08 13:26:58;-72.58
2025-05-08 13:26:57;-88.83
2025-05-08 13:26:56;-3.33
2025-05-08 13:26:55;-27.33
2025-05-08 13:26:54;-5.83
2025-05-08 13:26:53;-44.83
2025-05-08 13:26:52;-23.08
2025-05-08 13:26:51;-21.83
2025-05-08 13:26:50;-29.08
2025-05-08 13:26:49;-76.58
2025-05-08 13:26:48;-98.33
2025-05-08 13:26:47;-50.33
2025-05-08 13:26:46;-62.58
2025-05-08 13:26:45;-38.58
2025-05-08 13:26:44;-7.83
2025-05-08 13:26:43;-31.33
2025-05-08 13:26:42;-7.33
2025-05-08 13:26:41;-24.58
2025-05-08 13:26:40;-24.08
2025-05-08 13:26:39;-26.83
2025-05-08 13:26:38;-66.08
2025-05-08 13:26:37;-34.83
2025-05-08 13:26:36;-85.08
2025-05-08 13:26:35;-40.33
2025-05-08 13:26:34;-92.83
