Fecha y Hora;KV-2010 - Válvula agua a M-201
2025-05-08 13:27:39;-95620.00
2025-05-08 13:27:38;-40870.00
2025-05-08 13:27:37;-69370.00
2025-05-08 13:27:36;-25870.00
2025-05-08 13:27:35;-62120.00
2025-05-08 13:27:34;-35870.00
2025-05-08 13:27:33;-43120.00
2025-05-08 13:27:32;-24120.00
2025-05-08 13:27:31;-47620.00
2025-05-08 13:27:30;-35870.00
2025-05-08 13:27:29;-23120.00
2025-05-08 13:27:28;-51620.00
2025-05-08 13:27:27;-1370.00
2025-05-08 13:27:26;-44870.00
2025-05-08 13:27:25;-96370.00
2025-05-08 13:27:24;-6870.00
2025-05-08 13:27:23;-41620.00
2025-05-08 13:27:22;-85620.00
2025-05-08 13:27:21;-83370.00
2025-05-08 13:27:20;-85620.00
2025-05-08 13:27:19;-47620.00
2025-05-08 13:27:18;-49870.00
2025-05-08 13:27:17;-40370.00
2025-05-08 13:27:16;-33120.00
2025-05-08 13:27:15;-16370.00
2025-05-08 13:27:14;-78370.00
2025-05-08 13:27:13;-16370.00
2025-05-08 13:27:12;-21370.00
2025-05-08 13:27:11;-68870.00
2025-05-08 13:27:10;-96870.00
2025-05-08 13:27:09;-87870.00
2025-05-08 13:27:08;-18620.00
2025-05-08 13:27:07;-71120.00
2025-05-08 13:27:06;-87870.00
2025-05-08 13:27:05;-40370.00
2025-05-08 13:27:04;-23620.00
2025-05-08 13:27:03;-78370.00
2025-05-08 13:27:02;-25870.00
2025-05-08 13:27:01;-14120.00
2025-05-08 13:27:00;-59370.00
2025-05-08 13:26:59;-54370.00
2025-05-08 13:26:58;-25870.00
2025-05-08 13:26:57;-56620.00
2025-05-08 13:26:56;-92370.00
2025-05-08 13:26:55;-25870.00
2025-05-08 13:26:54;-23120.00
2025-05-08 13:26:53;-51120.00
2025-05-08 13:26:52;-26620.00
2025-05-08 13:26:51;-61120.00
2025-05-08 13:26:50;-49370.00
2025-05-08 13:26:49;-13620.00
2025-05-08 13:26:48;-68370.00
2025-05-08 13:26:47;-49370.00
2025-05-08 13:26:46;-42120.00
2025-05-08 13:26:45;-87370.00
2025-05-08 13:26:44;-51620.00
2025-05-08 13:26:43;-99120.00
2025-05-08 13:26:42;-34870.00
2025-05-08 13:26:41;-15870.00
2025-05-08 13:26:40;-86870.00
2025-05-08 13:26:39;-72870.00
2025-05-08 13:26:38;-46620.00
2025-05-08 13:26:37;-41120.00
2025-05-08 13:26:36;-50620.00
2025-05-08 13:26:35;-29370.00
2025-05-08 13:26:34;-46120.00
2025-05-08 13:26:33;-67870.00
2025-05-08 13:26:32;-56120.00
2025-05-08 13:26:31;-25370.00
2025-05-08 13:26:30;-53870.00
2025-05-08 13:26:29;-39370.00
2025-05-08 13:26:28;-18120.00
2025-05-08 13:26:27;-29870.00
2025-05-08 13:26:26;-58370.00
2025-05-08 13:26:25;-46620.00
2025-05-08 13:26:24;-82370.00
2025-05-08 13:26:23;-39370.00
2025-05-08 13:26:22;-72370.00
2025-05-08 13:26:21;59880.00
2025-05-08 13:26:20;43130.00
2025-05-08 13:26:19;-36620.00
2025-05-08 13:26:18;-24370.00
2025-05-08 13:26:17;-91370.00
2025-05-08 13:26:16;-22620.00
2025-05-08 13:26:15;-53370.00
2025-05-08 13:26:14;-62870.00
2025-05-08 13:26:13;-89120.00
2025-05-08 13:26:12;-98620.00
2025-05-08 13:26:11;-70120.00
2025-05-08 13:26:10;-8120.00
2025-05-08 13:26:09;-8120.00
2025-05-08 13:26:08;-62870.00
2025-05-08 13:26:07;-19870.00
2025-05-08 13:26:06;-91370.00
2025-05-08 13:26:05;-62870.00
2025-05-08 13:26:04;-57870.00
2025-05-08 13:26:03;-5870.00
2025-05-08 13:26:02;-8120.00
2025-05-08 13:26:01;-91370.00
2025-05-08 13:26:00;-10370.00
2025-05-08 13:25:59;-65120.00
2025-05-08 13:25:58;-84120.00
2025-05-08 13:25:57;-57870.00
2025-05-08 13:25:56;-36620.00
2025-05-08 13:25:55;-93620.00
2025-05-08 13:25:54;-86370.00
2025-05-08 13:25:53;-41120.00
2025-05-08 13:25:52;-88620.00
2025-05-08 13:25:51;-69620.00
2025-05-08 13:25:50;73880.00
2025-05-08 13:25:49;43630.00
2025-05-08 13:25:48;24630.00
2025-05-08 13:25:47;-66870.00
2025-05-08 13:25:46;-60120.00
2025-05-08 13:25:45;93380.00
2025-05-08 13:25:44;-52370.00
2025-05-08 13:25:43;50380.00
2025-05-08 13:25:42;-61870.00
2025-05-08 13:25:41;-64620.00
2025-05-08 13:25:40;-61870.00
2025-05-08 13:25:39;-14870.00
2025-05-08 13:25:38;78880.00
2025-05-08 13:25:37;-93120.00
2025-05-08 13:25:36;-64620.00
2025-05-08 13:25:35;-64620.00
2025-05-08 13:25:34;-28870.00
2025-05-08 13:25:33;-45620.00
2025-05-08 13:25:32;-47870.00
2025-05-08 13:25:31;-76370.00
2025-05-08 13:25:30;-21620.00
2025-05-08 13:25:29;88380.00
2025-05-08 13:25:28;-19370.00
2025-05-08 13:25:27;-88120.00
2025-05-08 13:25:26;-50120.00
2025-05-08 13:25:25;-95370.00
2025-05-08 13:25:24;-52370.00
2025-05-08 13:25:23;-97620.00
2025-05-08 13:25:22;97880.00
2025-05-08 13:25:21;45380.00
2025-05-08 13:25:20;130.00
2025-05-08 13:25:19;54880.00
2025-05-08 13:25:18;6130.00
2025-05-08 13:25:17;29630.00
2025-05-08 13:25:16;64380.00
2025-05-08 13:25:15;24130.00
2025-05-08 13:25:14;90630.00
2025-05-08 13:25:13;26380.00
2025-05-08 13:25:12;-97620.00
2025-05-08 13:25:11;71630.00
2025-05-08 13:25:10;43130.00
2025-05-08 13:25:09;59880.00
2025-05-08 13:25:08;73880.00
2025-05-08 13:25:07;95630.00
2025-05-08 13:25:06;88880.00
2025-05-08 13:25:05;76630.00
2025-05-08 13:25:04;78880.00
2025-05-08 13:25:03;38630.00
2025-05-08 13:25:02;14630.00
2025-05-08 13:25:01;90630.00
2025-05-08 13:25:00;43130.00
2025-05-08 13:24:59;57630.00
2025-05-08 13:24:58;2880.00
2025-05-08 13:24:57;29130.00
2025-05-08 13:24:56;50380.00
2025-05-08 13:24:55;67130.00
2025-05-08 13:24:54;74380.00
2025-05-08 13:24:53;34630.00
2025-05-08 13:24:52;49130.00
2025-05-08 13:24:51;53630.00
2025-05-08 13:24:50;82630.00
2025-05-08 13:24:49;53130.00
2025-05-08 13:24:48;31880.00
2025-05-08 13:24:47;53130.00
2025-05-08 13:24:46;20630.00
2025-05-08 13:24:45;18880.00
2025-05-08 13:24:44;60380.00
2025-05-08 13:24:43;7880.00
2025-05-08 13:24:42;77130.00
2025-05-08 13:24:41;24630.00
2025-05-08 13:24:40;630.00
2025-05-08 13:24:39;24630.00
2025-05-08 13:24:38;60380.00
2025-05-08 13:24:37;34130.00
2025-05-08 13:24:36;53130.00
2025-05-08 13:24:35;86630.00
2025-05-08 13:24:34;69880.00
2025-05-08 13:24:33;77130.00
2025-05-08 13:24:32;69880.00
2025-05-08 13:24:31;69880.00
2025-05-08 13:24:30;67630.00
2025-05-08 13:24:29;5630.00
2025-05-08 13:24:28;84380.00
2025-05-08 13:24:27;27380.00
2025-05-08 13:24:26;86630.00
2025-05-08 13:24:25;70380.00
2025-05-08 13:24:24;3380.00
2025-05-08 13:24:23;34630.00
2025-05-08 13:24:22;72630.00
2025-05-08 13:24:21;20130.00
2025-05-08 13:24:20;6130.00
2025-05-08 13:24:19;74880.00
2025-05-08 13:24:18;92130.00
2025-05-08 13:24:17;39630.00
2025-05-08 13:24:16;32380.00
2025-05-08 13:24:15;41130.00
2025-05-08 13:24:14;36130.00
2025-05-08 13:24:13;79880.00
2025-05-08 13:24:12;68130.00
2025-05-08 13:24:11;96630.00
2025-05-08 13:24:10;94380.00
2025-05-08 13:24:09;89380.00
2025-05-08 13:24:08;72630.00
2025-05-08 13:24:07;3880.00
2025-05-08 13:24:06;82630.00
2025-05-08 13:24:05;11130.00
2025-05-08 13:24:04;27880.00
2025-05-08 13:24:03;39630.00
2025-05-08 13:24:02;65880.00
2025-05-08 13:24:01;28880.00
2025-05-08 13:24:00;93130.00
2025-05-08 13:23:59;56880.00
2025-05-08 13:23:58;23380.00
2025-05-08 13:23:57;94380.00
2025-05-08 13:23:56;30130.00
2025-05-08 13:23:55;49130.00
2025-05-08 13:23:54;87130.00
2025-05-08 13:23:53;49130.00
2025-05-08 13:23:52;41130.00
2025-05-08 13:23:51;63630.00
2025-05-08 13:23:50;99380.00
2025-05-08 13:23:49;42380.00
2025-05-08 13:23:48;32880.00
2025-05-08 13:23:47;66380.00
2025-05-08 13:23:46;61380.00
2025-05-08 13:23:45;23380.00
2025-05-08 13:23:44;42380.00
2025-05-08 13:23:43;23880.00
2025-05-08 13:23:42;32130.00
2025-05-08 13:23:41;66380.00
2025-05-08 13:23:40;83130.00
2025-05-08 13:23:39;16130.00
2025-05-08 13:23:38;82630.00
2025-05-08 13:23:37;2130.00
2025-05-08 13:23:36;11630.00
2025-05-08 13:23:35;59130.00
2025-05-08 13:23:34;66380.00
2025-05-08 13:23:33;56880.00
2025-05-08 13:23:32;30630.00
2025-05-08 13:23:31;80880.00
2025-05-08 13:23:30;68630.00
2025-05-08 13:23:29;94880.00
2025-05-08 13:23:28;2130.00
2025-05-08 13:23:27;40130.00
2025-05-08 13:23:26;92630.00
2025-05-08 13:23:25;35630.00
2025-05-08 13:23:24;47380.00
2025-05-08 13:23:23;26130.00
2025-05-08 13:23:22;71380.00
2025-05-08 13:23:21;45130.00
2025-05-08 13:23:20;92630.00
2025-05-08 13:23:19;90380.00
2025-05-08 13:23:18;69130.00
2025-05-08 13:23:17;69130.00
2025-05-08 13:23:16;26130.00
2025-05-08 13:23:15;21630.00
2025-05-08 13:23:14;69130.00
2025-05-08 13:23:13;52380.00
2025-05-08 13:23:12;58380.00
2025-05-08 13:23:11;95880.00
2025-05-08 13:23:10;72880.00
2025-05-08 13:23:09;55630.00
2025-05-08 13:23:08;19880.00
2025-05-08 13:23:07;13130.00
2025-05-08 13:23:06;71880.00
2025-05-08 13:23:05;52880.00
2025-05-08 13:23:04;26630.00
2025-05-08 13:23:03;60130.00
2025-05-08 13:23:02;71880.00
2025-05-08 13:23:01;90880.00
2025-05-08 13:23:00;31630.00
2025-05-08 13:22:59;74130.00
2025-05-08 13:22:58;83630.00
2025-05-08 13:22:57;9880.00
2025-05-08 13:22:56;76880.00
2025-05-08 13:22:55;14880.00
2025-05-08 13:22:54;7630.00
2025-05-08 13:22:53;29380.00
2025-05-08 13:22:52;31630.00
2025-05-08 13:22:51;31630.00
2025-05-08 13:22:50;3130.00
2025-05-08 13:22:49;33880.00
2025-05-08 13:22:48;69630.00
2025-05-08 13:22:47;31630.00
2025-05-08 13:22:46;12630.00
2025-05-08 13:22:45;880.00
2025-05-08 13:22:44;31630.00
2025-05-08 13:22:43;12630.00
2025-05-08 13:22:42;14880.00
2025-05-08 13:22:41;74630.00
2025-05-08 13:22:40;80130.00
2025-05-08 13:22:39;88380.00
2025-05-08 13:22:38;72380.00
2025-05-08 13:22:37;32130.00
2025-05-08 13:22:36;62880.00
2025-05-08 13:22:35;89130.00
2025-05-08 13:22:34;60630.00
2025-05-08 13:22:33;13130.00
2025-05-08 13:22:32;38880.00
2025-05-08 13:22:31;81880.00
2025-05-08 13:22:30;66130.00
2025-05-08 13:22:29;10380.00
2025-05-08 13:22:28;27130.00
2025-05-08 13:22:27;10380.00
2025-05-08 13:22:26;70130.00
2025-05-08 13:22:25;27130.00
2025-05-08 13:22:24;24880.00
2025-05-08 13:22:23;43880.00
2025-05-08 13:22:22;65630.00
2025-05-08 13:22:21;72380.00
2025-05-08 13:22:20;89130.00
2025-05-08 13:22:19;96380.00
2025-05-08 13:22:18;77380.00
2025-05-08 13:22:17;4130.00
2025-05-08 13:22:16;42630.00
2025-05-08 13:22:15;16880.00
2025-05-08 13:22:14;37130.00
2025-05-08 13:22:13;53880.00
2025-05-08 13:22:12;73380.00
2025-05-08 13:22:11;80130.00
2025-05-08 13:22:10;10880.00
2025-05-08 13:22:09;84630.00
2025-05-08 13:22:08;83880.00
2025-05-08 13:22:07;9630.00
2025-05-08 13:22:06;32630.00
2025-05-08 13:22:05;65630.00
2025-05-08 13:22:04;18130.00
2025-05-08 13:22:03;37130.00
2025-05-08 13:22:02;70630.00
2025-05-08 13:22:01;11380.00
2025-05-08 13:22:00;77880.00
2025-05-08 13:21:59;85130.00
2025-05-08 13:21:58;51630.00
2025-05-08 13:21:57;10880.00
2025-05-08 13:21:56;89630.00
2025-05-08 13:21:55;8630.00
2025-05-08 13:21:54;49380.00
2025-05-08 13:21:53;30380.00
2025-05-08 13:21:52;46630.00
2025-05-08 13:21:51;44880.00
2025-05-08 13:21:50;35380.00
2025-05-08 13:21:49;30380.00
2025-05-08 13:21:48;61630.00
2025-05-08 13:21:47;30380.00
2025-05-08 13:21:46;15880.00
2025-05-08 13:21:45;32630.00
2025-05-08 13:21:44;77880.00
2025-05-08 13:21:43;92380.00
2025-05-08 13:21:42;1880.00
2025-05-08 13:21:41;47130.00
2025-05-08 13:21:40;85130.00
2025-05-08 13:21:39;1880.00
2025-05-08 13:21:38;85130.00
2025-05-08 13:21:37;86630.00
2025-05-08 13:21:36;60380.00
2025-05-08 13:21:35;9130.00
2025-05-08 13:21:34;61630.00
2025-05-08 13:21:33;52130.00
2025-05-08 13:21:32;4630.00
2025-05-08 13:21:31;99630.00
2025-05-08 13:21:30;97380.00
2025-05-08 13:21:29;95130.00
2025-05-08 13:21:28;66630.00
2025-05-08 13:21:27;28630.00
2025-05-08 13:21:26;47630.00
2025-05-08 13:21:25;10630.00
2025-05-08 13:21:24;43630.00
2025-05-08 13:21:23;5630.00
2025-05-08 13:21:22;2380.00
2025-05-08 13:21:21;81130.00
2025-05-08 13:21:20;61630.00
2025-05-08 13:21:19;54880.00
2025-05-08 13:21:18;92880.00
2025-05-08 13:21:17;81130.00
2025-05-08 13:21:16;62130.00
2025-05-08 13:21:15;7380.00
2025-05-08 13:21:14;62130.00
2025-05-08 13:21:13;28630.00
2025-05-08 13:21:12;59880.00
2025-05-08 13:21:11;95630.00
2025-05-08 13:21:10;16880.00
2025-05-08 13:21:09;43130.00
2025-05-08 13:21:08;79380.00
2025-05-08 13:21:07;38630.00
2025-05-08 13:21:06;97880.00
2025-05-08 13:21:05;44630.00
2025-05-08 13:21:04;3880.00
2025-05-08 13:21:03;40880.00
2025-05-08 13:21:02;62630.00
2025-05-08 13:21:01;55380.00
2025-05-08 13:21:00;38630.00
2025-05-08 13:20:59;40880.00
