Fecha y Hora;PIC-3032 - Presión reactor R-303
2025-05-08 13:27:39;-81.07
2025-05-08 13:27:38;-9.57
2025-05-08 13:27:37;-85.57
2025-05-08 13:27:36;-73.82
2025-05-08 13:27:35;-40.32
2025-05-08 13:27:34;-6.82
2025-05-08 13:27:33;-76.07
2025-05-08 13:27:32;-70.57
2025-05-08 13:27:31;3.68
2025-05-08 13:27:30;1.43
2025-05-08 13:27:29;6.43
2025-05-08 13:27:28;41.68
2025-05-08 13:27:27;20.43
2025-05-08 13:27:26;33.68
2025-05-08 13:27:25;77.93
2025-05-08 13:27:24;56.18
2025-05-08 13:27:23;29.93
2025-05-08 13:27:22;72.43
2025-05-08 13:27:21;17.68
2025-05-08 13:27:20;-44.82
2025-05-08 13:27:19;8.18
2025-05-08 13:27:18;-32.57
2025-05-08 13:27:17;17.68
2025-05-08 13:27:16;-90.07
2025-05-08 13:27:15;20.43
2025-05-08 13:27:14;62.93
2025-05-08 13:27:13;-15.82
2025-05-08 13:27:12;-15.82
2025-05-08 13:27:11;-30.32
2025-05-08 13:27:10;-80.07
2025-05-08 13:27:09;46.18
2025-05-08 13:27:08;72.43
2025-05-08 13:27:07;-80.07
2025-05-08 13:27:06;55.68
2025-05-08 13:27:05;-13.57
2025-05-08 13:27:04;46.18
2025-05-08 13:27:03;-96.82
2025-05-08 13:27:02;67.93
2025-05-08 13:27:01;67.93
2025-05-08 13:27:00;5.93
2025-05-08 13:26:59;34.43
2025-05-08 13:26:58;82.43
2025-05-08 13:26:57;-6.32
2025-05-08 13:26:56;17.68
2025-05-08 13:26:55;30.93
2025-05-08 13:26:54;73.93
2025-05-08 13:26:53;21.43
2025-05-08 13:26:52;23.68
2025-05-08 13:26:51;62.93
2025-05-08 13:26:50;42.18
2025-05-08 13:26:49;10.93
2025-05-08 13:26:48;15.93
2025-05-08 13:26:47;24.93
2025-05-08 13:26:46;42.18
2025-05-08 13:26:45;17.68
2025-05-08 13:26:44;8.18
2025-05-08 13:26:43;32.18
2025-05-08 13:26:42;96.43
2025-05-08 13:26:41;79.68
2025-05-08 13:26:40;25.43
2025-05-08 13:26:39;0.18
2025-05-08 13:26:38;0.18
2025-05-08 13:26:37;14.18
2025-05-08 13:26:36;66.18
2025-05-08 13:26:35;76.18
2025-05-08 13:26:34;49.43
2025-05-08 13:26:33;8.68
2025-05-08 13:26:32;70.68
2025-05-08 13:26:31;15.43
2025-05-08 13:26:30;54.43
2025-05-08 13:26:29;82.93
2025-05-08 13:26:28;9.18
2025-05-08 13:26:27;80.68
2025-05-08 13:26:26;30.43
2025-05-08 13:26:25;66.18
2025-05-08 13:26:24;89.68
2025-05-08 13:26:23;22.43
2025-05-08 13:26:22;39.18
2025-05-08 13:26:21;15.18
2025-05-08 13:26:20;59.43
2025-05-08 13:26:19;66.68
2025-05-08 13:26:18;13.68
2025-05-08 13:26:17;82.93
2025-05-08 13:26:16;11.43
2025-05-08 13:26:15;56.68
2025-05-08 13:26:14;78.43
2025-05-08 13:26:13;35.43
2025-05-08 13:26:12;23.68
2025-05-08 13:26:11;58.93
2025-05-08 13:26:10;15.93
2025-05-08 13:26:09;71.18
2025-05-08 13:26:08;39.93
2025-05-08 13:26:07;95.18
2025-05-08 13:26:06;14.18
2025-05-08 13:26:05;66.18
2025-05-08 13:26:04;18.68
2025-05-08 13:26:03;68.93
2025-05-08 13:26:02;9.18
2025-05-08 13:26:01;49.43
2025-05-08 13:26:00;62.18
2025-05-08 13:25:59;6.93
2025-05-08 13:25:58;40.43
2025-05-08 13:25:57;15.93
2025-05-08 13:25:56;54.43
2025-05-08 13:25:55;6.93
2025-05-08 13:25:54;56.68
2025-05-08 13:25:53;56.68
2025-05-08 13:25:52;87.93
2025-05-08 13:25:51;0.68
2025-05-08 13:25:50;22.43
2025-05-08 13:25:49;46.43
2025-05-08 13:25:48;16.18
2025-05-08 13:25:47;5.68
2025-05-08 13:25:46;88.43
2025-05-08 13:25:45;50.43
2025-05-08 13:25:44;64.93
2025-05-08 13:25:43;84.43
2025-05-08 13:25:42;29.68
2025-05-08 13:25:41;28.68
2025-05-08 13:25:40;64.43
2025-05-08 13:25:39;93.43
2025-05-08 13:25:38;59.93
2025-05-08 13:25:37;14.68
2025-05-08 13:25:36;9.68
2025-05-08 13:25:35;26.93
2025-05-08 13:25:34;14.68
2025-05-08 13:25:33;62.68
2025-05-08 13:25:32;69.43
2025-05-08 13:25:31;0.18
2025-05-08 13:25:30;10.18
2025-05-08 13:25:29;16.93
2025-05-08 13:25:28;54.93
2025-05-08 13:25:27;79.43
2025-05-08 13:25:26;21.93
2025-05-08 13:25:25;10.18
2025-05-08 13:25:24;69.93
2025-05-08 13:25:23;48.18
2025-05-08 13:25:22;7.43
2025-05-08 13:25:21;96.18
2025-05-08 13:25:20;65.43
