Fecha y Hora;PIT-5010 - Presión entrada E-501
2025-05-08 13:27:39;92.93
2025-05-08 13:27:38;64.43
2025-05-08 13:27:37;45.43
2025-05-08 13:27:36;38.68
2025-05-08 13:27:35;35.93
2025-05-08 13:27:34;86.18
2025-05-08 13:27:33;31.43
2025-05-08 13:27:32;84.43
2025-05-08 13:27:31;11.18
2025-05-08 13:27:30;22.93
2025-05-08 13:27:29;82.68
2025-05-08 13:27:28;53.68
2025-05-08 13:27:27;11.18
2025-05-08 13:27:26;62.43
2025-05-08 13:27:25;51.93
2025-05-08 13:27:24;68.68
2025-05-08 13:27:23;97.18
2025-05-08 13:27:22;36.93
2025-05-08 13:27:21;10.68
2025-05-08 13:27:20;77.18
2025-05-08 13:27:19;72.68
2025-05-08 13:27:18;25.18
2025-05-08 13:27:17;75.43
2025-05-08 13:27:16;21.93
2025-05-08 13:27:15;65.93
2025-05-08 13:27:14;74.93
2025-05-08 13:27:13;93.93
2025-05-08 13:27:12;15.18
2025-05-08 13:27:11;36.43
2025-05-08 13:27:10;67.68
2025-05-08 13:27:09;20.18
2025-05-08 13:27:08;17.93
2025-05-08 13:27:07;39.18
2025-05-08 13:27:06;86.68
2025-05-08 13:27:05;96.18
2025-05-08 13:27:04;68.18
2025-05-08 13:27:03;43.68
2025-05-08 13:27:02;80.43
2025-05-08 13:27:01;34.68
2025-05-08 13:27:00;72.68
2025-05-08 13:26:59;92.18
2025-05-08 13:26:58;39.68
2025-05-08 13:26:57;91.68
2025-05-08 13:26:56;30.18
2025-05-08 13:26:55;50.18
2025-05-08 13:26:54;31.68
2025-05-08 13:26:53;33.93
2025-05-08 13:26:52;88.18
2025-05-08 13:26:51;72.68
2025-05-08 13:26:50;97.18
2025-05-08 13:26:49;18.43
2025-05-08 13:26:48;8.93
2025-05-08 13:26:47;1.18
2025-05-08 13:26:46;44.68
2025-05-08 13:26:45;75.43
2025-05-08 13:26:44;41.93
2025-05-08 13:26:43;65.93
2025-05-08 13:26:42;13.43
2025-05-08 13:26:41;53.68
2025-05-08 13:26:40;97.68
2025-05-08 13:26:39;67.43
2025-05-08 13:26:38;67.43
2025-05-08 13:26:37;52.43
2025-05-08 13:26:36;40.18
2025-05-08 13:26:35;23.93
2025-05-08 13:26:34;71.43
