Fecha y Hora;PIT-5011 - Presión salida E-501
2025-05-08 13:27:39;7.93
2025-05-08 13:27:38;91.68
2025-05-08 13:27:37;17.93
2025-05-08 13:27:36;44.18
2025-05-08 13:27:35;17.93
2025-05-08 13:27:34;13.43
2025-05-08 13:27:33;22.93
2025-05-08 13:27:32;75.93
2025-05-08 13:27:31;16.68
2025-05-08 13:27:30;50.18
2025-05-08 13:27:29;55.18
2025-05-08 13:27:28;23.43
2025-05-08 13:27:27;71.43
2025-05-08 13:27:26;63.43
2025-05-08 13:27:25;88.68
2025-05-08 13:27:24;74.18
2025-05-08 13:27:23;2.68
2025-05-08 13:27:22;37.93
2025-05-08 13:27:21;83.18
2025-05-08 13:27:20;82.68
2025-05-08 13:27:19;28.43
2025-05-08 13:27:18;75.93
2025-05-08 13:27:17;90.43
2025-05-08 13:27:16;94.43
2025-05-08 13:27:15;80.93
2025-05-08 13:27:14;44.68
2025-05-08 13:27:13;70.93
2025-05-08 13:27:12;32.93
2025-05-08 13:27:11;8.93
2025-05-08 13:27:10;89.93
2025-05-08 13:27:09;35.18
2025-05-08 13:27:08;64.18
2025-05-08 13:27:07;40.18
2025-05-08 13:27:06;59.18
2025-05-08 13:27:05;78.18
2025-05-08 13:27:04;18.93
2025-05-08 13:27:03;61.43
2025-05-08 13:27:02;85.93
2025-05-08 13:27:01;49.68
2025-05-08 13:27:00;42.43
2025-05-08 13:26:59;52.43
2025-05-08 13:26:58;99.93
2025-05-08 13:26:57;9.43
2025-05-08 13:26:56;90.43
2025-05-08 13:26:55;22.68
2025-05-08 13:26:54;37.18
2025-05-08 13:26:53;94.18
2025-05-08 13:26:52;79.68
2025-05-08 13:26:51;9.43
2025-05-08 13:26:50;88.68
2025-05-08 13:26:49;55.18
2025-05-08 13:26:48;31.18
2025-05-08 13:26:47;18.93
2025-05-08 13:26:46;4.93
2025-05-08 13:26:45;35.68
2025-05-08 13:26:44;47.43
2025-05-08 13:26:43;26.18
2025-05-08 13:26:42;40.68
2025-05-08 13:26:41;85.43
2025-05-08 13:26:40;79.68
2025-05-08 13:26:39;72.93
2025-05-08 13:26:38;72.93
2025-05-08 13:26:37;84.18
2025-05-08 13:26:36;76.93
2025-05-08 13:26:35;91.43
2025-05-08 13:26:34;31.68
2025-05-08 13:26:33;80.93
2025-05-08 13:26:32;76.93
2025-05-08 13:26:31;88.18
2025-05-08 13:26:30;57.93
2025-05-08 13:26:29;62.43
2025-05-08 13:26:28;45.68
2025-05-08 13:26:27;52.93
2025-05-08 13:26:26;9.93
2025-05-08 13:26:25;12.68
2025-05-08 13:26:24;93.18
2025-05-08 13:26:23;4.18
2025-05-08 13:26:22;66.18
2025-05-08 13:26:21;99.68
2025-05-08 13:26:20;86.43
2025-05-08 13:26:19;48.43
2025-05-08 13:26:18;62.43
2025-05-08 13:26:17;55.18
2025-05-08 13:26:16;41.18
2025-05-08 13:26:15;71.93
2025-05-08 13:26:14;14.93
2025-05-08 13:26:13;95.93
2025-05-08 13:26:12;41.68
2025-05-08 13:26:11;38.93
2025-05-08 13:26:10;88.68
2025-05-08 13:26:09;81.93
2025-05-08 13:26:08;88.68
2025-05-08 13:26:07;53.43
2025-05-08 13:26:06;79.68
2025-05-08 13:26:05;5.43
2025-05-08 13:26:04;55.68
2025-05-08 13:26:03;50.68
2025-05-08 13:26:02;52.93
2025-05-08 13:26:01;69.68
2025-05-08 13:26:00;89.18
2025-05-08 13:25:59;41.18
2025-05-08 13:25:58;55.68
2025-05-08 13:25:57;36.18
2025-05-08 13:25:56;90.93
2025-05-08 13:25:55;33.93
2025-05-08 13:25:54;74.68
2025-05-08 13:25:53;50.68
2025-05-08 13:25:52;31.68
2025-05-08 13:25:51;82.93
2025-05-08 13:25:50;49.43
2025-05-08 13:25:49;49.93
2025-05-08 13:25:48;7.93
2025-05-08 13:25:47;78.43
2025-05-08 13:25:46;42.18
2025-05-08 13:25:45;42.18
2025-05-08 13:25:44;58.93
2025-05-08 13:25:43;66.18
