Fecha y Hora;TC-5011 - Control temperatura a digestión
2025-05-08 13:27:39;-2.78
2025-05-08 13:27:38;-21.78
2025-05-08 13:27:37;-62.03
2025-05-08 13:27:36;-14.53
2025-05-08 13:27:35;-21.78
2025-05-08 13:27:34;-19.03
2025-05-08 13:27:33;-42.03
2025-05-08 13:27:32;-54.28
2025-05-08 13:27:31;-15.78
2025-05-08 13:27:30;-18.03
2025-05-08 13:27:29;-34.28
2025-05-08 13:27:28;-56.03
2025-05-08 13:27:27;-98.03
2025-05-08 13:27:26;-23.78
2025-05-08 13:27:25;-32.03
2025-05-08 13:27:24;-13.03
2025-05-08 13:27:23;-56.03
2025-05-08 13:27:22;-58.78
2025-05-08 13:27:21;-87.28
2025-05-08 13:27:20;-30.78
2025-05-08 13:27:19;-94.53
2025-05-08 13:27:18;-30.28
2025-05-08 13:27:17;-32.53
2025-05-08 13:27:16;-54.78
2025-05-08 13:27:15;-20.28
2025-05-08 13:27:14;-56.53
2025-05-08 13:27:13;-4.53
2025-05-08 13:27:12;-28.03
2025-05-08 13:27:11;-14.03
2025-05-08 13:27:10;-68.78
2025-05-08 13:27:09;-11.28
2025-05-08 13:27:08;-94.53
2025-05-08 13:27:07;-47.03
2025-05-08 13:27:06;-58.78
2025-05-08 13:27:05;-80.53
2025-05-08 13:27:04;-39.78
2025-05-08 13:27:03;-16.28
2025-05-08 13:27:02;-1.28
2025-05-08 13:27:01;-6.28
2025-05-08 13:27:00;-13.53
2025-05-08 13:26:59;-51.53
2025-05-08 13:26:58;-41.53
2025-05-08 13:26:57;-58.78
2025-05-08 13:26:56;-81.28
2025-05-08 13:26:55;-71.78
2025-05-08 13:26:54;-31.03
2025-05-08 13:26:53;-83.53
2025-05-08 13:26:52;-60.03
2025-05-08 13:26:51;-23.03
2025-05-08 13:26:50;-8.03
2025-05-08 13:26:49;-56.03
2025-05-08 13:26:48;-80.03
2025-05-08 13:26:47;-85.03
2025-05-08 13:26:46;-96.28
2025-05-08 13:26:45;-87.28
2025-05-08 13:26:44;-20.78
2025-05-08 13:26:43;-80.03
2025-05-08 13:26:42;-53.78
2025-05-08 13:26:41;-27.03
2025-05-08 13:26:40;-26.53
2025-05-08 13:26:39;-69.03
2025-05-08 13:26:38;-31.03
2025-05-08 13:26:37;-7.53
2025-05-08 13:26:36;-72.28
2025-05-08 13:26:35;-36.03
2025-05-08 13:26:34;-93.53
2025-05-08 13:26:33;-13.03
2025-05-08 13:26:32;-62.78
2025-05-08 13:26:31;-25.28
