Fecha y Hora;TT-2015 - Temperatura mezclador M-201
2025-05-08 13:27:39;61.18
2025-05-08 13:27:38;44.93
2025-05-08 13:27:37;90.18
2025-05-08 13:27:36;44.93
2025-05-08 13:27:35;90.18
2025-05-08 13:27:34;66.68
2025-05-08 13:27:33;48.18
2025-05-08 13:27:32;50.43
2025-05-08 13:27:31;53.18
2025-05-08 13:27:30;58.18
2025-05-08 13:27:29;8.43
2025-05-08 13:27:28;67.18
2025-05-08 13:27:27;13.93
2025-05-08 13:27:26;87.68
2025-05-08 13:27:25;63.18
2025-05-08 13:27:24;20.18
2025-05-08 13:27:23;58.18
2025-05-08 13:27:22;97.93
2025-05-08 13:27:21;36.43
2025-05-08 13:27:20;83.43
2025-05-08 13:27:19;52.68
2025-05-08 13:27:18;57.68
2025-05-08 13:27:17;26.93
2025-05-08 13:27:16;76.18
2025-05-08 13:27:15;24.68
2025-05-08 13:27:14;88.43
2025-05-08 13:27:13;26.43
2025-05-08 13:27:12;5.18
2025-05-08 13:27:11;81.18
2025-05-08 13:27:10;90.68
2025-05-08 13:27:09;97.93
2025-05-08 13:27:08;97.93
2025-05-08 13:27:07;64.43
2025-05-08 13:27:06;48.18
2025-05-08 13:27:05;52.68
2025-05-08 13:27:04;10.18
2025-05-08 13:27:03;69.43
2025-05-08 13:27:02;86.68
2025-05-08 13:27:01;57.68
2025-05-08 13:27:00;50.43
2025-05-08 13:26:59;53.18
2025-05-08 13:26:58;72.18
2025-05-08 13:26:57;33.68
2025-05-08 13:26:56;72.18
2025-05-08 13:26:55;85.43
2025-05-08 13:26:54;83.18
2025-05-08 13:26:53;85.43
2025-05-08 13:26:52;54.18
2025-05-08 13:26:51;19.68
2025-05-08 13:26:50;44.18
2025-05-08 13:26:49;39.18
2025-05-08 13:26:48;41.43
2025-05-08 13:26:47;36.43
2025-05-08 13:26:46;67.68
2025-05-08 13:26:45;45.93
2025-05-08 13:26:44;48.18
2025-05-08 13:26:43;26.93
2025-05-08 13:26:42;29.18
2025-05-08 13:26:41;48.18
2025-05-08 13:26:40;39.68
2025-05-08 13:26:39;9.43
2025-05-08 13:26:38;28.43
2025-05-08 13:26:37;39.68
2025-05-08 13:26:36;87.18
2025-05-08 13:26:35;46.93
2025-05-08 13:26:34;11.18
2025-05-08 13:26:33;88.93
2025-05-08 13:26:32;65.43
2025-05-08 13:26:31;34.18
2025-05-08 13:26:30;49.18
2025-05-08 13:26:29;8.43
2025-05-08 13:26:28;98.93
2025-05-08 13:26:27;60.93
2025-05-08 13:26:26;46.43
2025-05-08 13:26:25;13.43
2025-05-08 13:26:24;3.43
2025-05-08 13:26:23;47.93
2025-05-08 13:26:22;74.18
2025-05-08 13:26:21;52.93
2025-05-08 13:26:20;39.68
2025-05-08 13:26:19;46.93
2025-05-08 13:26:18;25.18
2025-05-08 13:26:17;53.68
2025-05-08 13:26:16;10.68
2025-05-08 13:26:15;17.93
2025-05-08 13:26:14;58.68
2025-05-08 13:26:13;39.68
2025-05-08 13:26:12;51.93
2025-05-08 13:26:11;94.43
2025-05-08 13:26:10;15.68
2025-05-08 13:26:09;60.93
2025-05-08 13:26:08;44.18
2025-05-08 13:26:07;8.93
2025-05-08 13:26:06;78.18
2025-05-08 13:26:05;68.18
2025-05-08 13:26:04;1.68
2025-05-08 13:26:03;3.93
2025-05-08 13:26:02;96.68
2025-05-08 13:26:01;77.68
2025-05-08 13:26:00;97.18
2025-05-08 13:25:59;49.18
2025-05-08 13:25:58;82.68
2025-05-08 13:25:57;5.68
2025-05-08 13:25:56;34.68
2025-05-08 13:25:55;96.68
2025-05-08 13:25:54;75.43
2025-05-08 13:25:53;60.93
2025-05-08 13:25:52;84.18
2025-05-08 13:25:51;57.43
2025-05-08 13:25:50;21.68
2025-05-08 13:25:49;53.93
2025-05-08 13:25:48;18.18
2025-05-08 13:25:47;52.93
2025-05-08 13:25:46;23.93
2025-05-08 13:25:45;88.18
2025-05-08 13:25:44;85.93
2025-05-08 13:25:43;74.18
2025-05-08 13:25:42;43.43
2025-05-08 13:25:41;63.68
2025-05-08 13:25:40;94.93
2025-05-08 13:25:39;28.43
2025-05-08 13:25:38;49.68
2025-05-08 13:25:37;49.68
2025-05-08 13:25:36;99.43
2025-05-08 13:25:35;42.93
2025-05-08 13:25:34;45.18
2025-05-08 13:25:33;17.18
2025-05-08 13:25:32;94.93
2025-05-08 13:25:31;85.43
2025-05-08 13:25:30;31.18
2025-05-08 13:25:29;4.43
2025-05-08 13:25:28;59.18
2025-05-08 13:25:27;36.18
2025-05-08 13:25:26;28.43
2025-05-08 13:25:25;80.93
2025-05-08 13:25:24;23.93
2025-05-08 13:25:23;18.93
2025-05-08 13:25:22;9.43
2025-05-08 13:25:21;66.93
2025-05-08 13:25:20;75.68
2025-05-08 13:25:19;57.93
2025-05-08 13:25:18;10.93
2025-05-08 13:25:17;75.68
2025-05-08 13:25:16;37.18
2025-05-08 13:25:15;14.43
2025-05-08 13:25:14;62.43
2025-05-08 13:25:13;19.43
2025-05-08 13:25:12;60.68
2025-05-08 13:25:11;43.43
2025-05-08 13:25:10;38.43
2025-05-08 13:25:09;21.68
2025-05-08 13:25:08;7.68
2025-05-08 13:25:07;22.18
2025-05-08 13:25:06;43.43
2025-05-08 13:25:05;69.68
2025-05-08 13:25:04;0.43
2025-05-08 13:25:03;83.68
2025-05-08 13:25:02;69.68
2025-05-08 13:25:01;90.93
2025-05-08 13:25:00;74.68
2025-05-08 13:24:59;22.18
2025-05-08 13:24:58;95.43
2025-05-08 13:24:57;43.43
2025-05-08 13:24:56;60.68
2025-05-08 13:24:55;89.68
2025-05-08 13:24:54;1.93
2025-05-08 13:24:53;53.93
2025-05-08 13:24:52;5.93
2025-05-08 13:24:51;58.43
2025-05-08 13:24:50;42.18
2025-05-08 13:24:49;57.93
2025-05-08 13:24:48;-23.03
2025-05-08 13:24:47;-72.78
2025-05-08 13:24:46;61.18
2025-05-08 13:24:45;-68.28
2025-05-08 13:24:44;57.93
2025-05-08 13:24:43;48.43
2025-05-08 13:24:42;32.18
2025-05-08 13:24:41;79.18
2025-05-08 13:24:40;75.18
2025-05-08 13:24:39;99.18
2025-05-08 13:24:38;72.43
2025-05-08 13:24:37;41.18
2025-05-08 13:24:36;14.93
2025-05-08 13:24:35;31.68
2025-05-08 13:24:34;67.43
2025-05-08 13:24:33;86.43
2025-05-08 13:24:32;69.68
2025-05-08 13:24:31;29.43
2025-05-08 13:24:30;48.93
2025-05-08 13:24:29;0.93
2025-05-08 13:24:28;29.43
2025-05-08 13:24:27;6.43
2025-05-08 13:24:26;43.93
2025-05-08 13:24:25;75.18
2025-05-08 13:24:24;84.68
2025-05-08 13:24:23;36.68
2025-05-08 13:24:22;79.68
2025-05-08 13:24:21;72.43
2025-05-08 13:24:20;25.43
2025-05-08 13:24:19;15.43
2025-05-08 13:24:18;53.43
2025-05-08 13:24:17;-53.28
2025-05-08 13:24:16;-89.03
2025-05-08 13:24:15;-10.78
2025-05-08 13:24:14;-22.53
2025-05-08 13:24:13;-46.53
2025-05-08 13:24:12;46.68
2025-05-08 13:24:11;75.18
2025-05-08 13:24:10;99.18
2025-05-08 13:24:09;58.43
2025-05-08 13:24:08;99.18
2025-05-08 13:24:07;61.18
2025-05-08 13:24:06;39.43
2025-05-08 13:24:05;-47.03
2025-05-08 13:24:04;-1.78
2025-05-08 13:24:03;-58.78
2025-05-08 13:24:02;-37.03
2025-05-08 13:24:01;-42.03
2025-05-08 13:24:00;-42.03
2025-05-08 13:23:59;-49.28
2025-05-08 13:23:58;-44.28
2025-05-08 13:23:57;6.43
2025-05-08 13:23:56;85.18
2025-05-08 13:23:55;34.93
2025-05-08 13:23:54;87.43
2025-05-08 13:23:53;37.68
2025-05-08 13:23:52;-85.03
2025-05-08 13:23:51;58.93
2025-05-08 13:23:50;61.18
2025-05-08 13:23:49;20.93
2025-05-08 13:23:48;15.93
2025-05-08 13:23:47;47.18
2025-05-08 13:23:46;-63.78
2025-05-08 13:23:45;-0.78
2025-05-08 13:23:44;-86.28
2025-05-08 13:23:43;-36.03
2025-05-08 13:23:42;-53.28
2025-05-08 13:23:41;-44.28
2025-05-08 13:23:40;-23.03
2025-05-08 13:23:39;-6.28
2025-05-08 13:23:38;39.93
2025-05-08 13:23:37;-47.03
2025-05-08 13:23:36;-99.53
2025-05-08 13:23:35;-94.53
2025-05-08 13:23:34;-85.03
2025-05-08 13:23:33;39.93
2025-05-08 13:23:32;82.93
2025-05-08 13:23:31;-32.53
2025-05-08 13:23:30;-49.28
2025-05-08 13:23:29;-77.78
2025-05-08 13:23:28;-63.78
2025-05-08 13:23:27;-20.78
2025-05-08 13:23:26;-96.78
2025-05-08 13:23:25;-32.53
2025-05-08 13:23:24;-1.78
2025-05-08 13:23:23;-77.78
2025-05-08 13:23:22;-25.28
2025-05-08 13:23:21;-32.53
2025-05-08 13:23:20;-13.53
2025-05-08 13:23:19;-0.78
2025-05-08 13:23:18;-20.78
2025-05-08 13:23:17;-99.03
2025-05-08 13:23:16;-80.03
2025-05-08 13:23:15;-80.03
2025-05-08 13:23:14;-38.28
2025-05-08 13:23:13;-78.53
2025-05-08 13:23:12;-37.78
2025-05-08 13:23:11;-37.28
2025-05-08 13:23:10;-92.03
2025-05-08 13:23:09;-7.53
2025-05-08 13:23:08;-55.03
2025-05-08 13:23:07;-33.78
2025-05-08 13:23:06;-31.53
2025-05-08 13:23:05;-56.03
2025-05-08 13:23:04;-53.28
2025-05-08 13:23:03;-24.78
2025-05-08 13:23:02;-72.28
2025-05-08 13:23:01;-86.78
2025-05-08 13:23:00;-51.03
2025-05-08 13:22:59;-96.28
2025-05-08 13:22:58;-86.78
2025-05-08 13:22:57;-56.03
2025-05-08 13:22:56;-5.78
2025-05-08 13:22:55;-22.53
2025-05-08 13:22:54;-27.03
2025-05-08 13:22:53;-77.28
2025-05-08 13:22:52;-24.78
2025-05-08 13:22:51;-38.78
2025-05-08 13:22:50;-17.53
2025-05-08 13:22:49;-51.03
2025-05-08 13:22:48;-27.03
2025-05-08 13:22:47;-41.53
2025-05-08 13:22:46;-53.28
2025-05-08 13:22:45;-93.53
2025-05-08 13:22:44;-65.03
2025-05-08 13:22:43;-98.53
2025-05-08 13:22:42;-65.78
2025-05-08 13:22:41;-2.53
2025-05-08 13:22:40;-56.78
2025-05-08 13:22:39;-32.78
2025-05-08 13:22:38;-76.28
2025-05-08 13:22:37;-50.53
2025-05-08 13:22:36;-17.53
2025-05-08 13:22:35;-14.78
2025-05-08 13:22:34;-40.53
2025-05-08 13:22:33;-27.03
2025-05-08 13:22:32;-95.78
2025-05-08 13:22:31;-19.28
2025-05-08 13:22:30;-0.28
2025-05-08 13:22:29;-86.28
2025-05-08 13:22:28;-4.78
2025-05-08 13:22:27;-0.28
2025-05-08 13:22:26;-79.03
2025-05-08 13:22:25;-2.53
2025-05-08 13:22:24;-83.53
2025-05-08 13:22:23;-28.78
2025-05-08 13:22:22;-31.03
2025-05-08 13:22:21;-65.78
2025-05-08 13:22:20;-65.78
2025-05-08 13:22:19;-26.03
2025-05-08 13:22:18;-92.03
2025-05-08 13:22:17;-78.03
2025-05-08 13:22:16;-32.78
2025-05-08 13:22:15;-63.53
2025-05-08 13:22:14;-11.53
2025-05-08 13:22:13;-9.78
2025-05-08 13:22:12;-5.28
2025-05-08 13:22:11;-77.53
2025-05-08 13:22:10;-30.03
2025-05-08 13:22:09;-1.03
2025-05-08 13:22:08;-99.78
2025-05-08 13:22:07;-82.03
2025-05-08 13:22:06;-64.53
2025-05-08 13:22:05;-59.53
2025-05-08 13:22:04;-28.78
2025-05-08 13:22:03;-7.03
2025-05-08 13:22:02;-26.03
2025-05-08 13:22:01;-2.53
2025-05-08 13:22:00;-42.78
2025-05-08 13:21:59;-16.53
2025-05-08 13:21:58;-69.03
2025-05-08 13:21:57;-7.03
2025-05-08 13:21:56;-69.03
2025-05-08 13:21:55;-16.53
2025-05-08 13:21:54;-47.28
2025-05-08 13:21:53;-92.53
2025-05-08 13:21:52;-4.78
2025-05-08 13:21:51;-93.03
2025-05-08 13:21:50;-32.78
2025-05-08 13:21:49;-88.03
2025-05-08 13:21:48;-40.53
2025-05-08 13:21:47;-2.03
2025-05-08 13:21:46;-31.03
2025-05-08 13:21:45;-90.28
2025-05-08 13:21:44;-13.78
2025-05-08 13:21:43;-42.28
2025-05-08 13:21:42;-7.03
2025-05-08 13:21:41;-80.28
2025-05-08 13:21:40;-49.53
2025-05-08 13:21:39;-19.53
2025-05-08 13:21:38;-74.28
2025-05-08 13:21:37;-31.28
2025-05-08 13:21:36;-39.03
2025-05-08 13:21:35;-59.78
2025-05-08 13:21:34;-13.78
2025-05-08 13:21:33;-73.53
2025-05-08 13:21:32;-92.53
2025-05-08 13:21:31;-1.53
2025-05-08 13:21:30;-80.28
2025-05-08 13:21:29;-3.28
2025-05-08 13:21:28;-77.03
2025-05-08 13:21:27;-7.78
2025-05-08 13:21:26;-24.53
2025-05-08 13:21:25;-5.53
2025-05-08 13:21:24;-69.28
2025-05-08 13:21:23;-96.03
2025-05-08 13:21:22;-96.03
2025-05-08 13:21:21;-27.78
2025-05-08 13:21:20;-22.78
2025-05-08 13:21:19;-11.03
2025-05-08 13:21:18;-60.78
2025-05-08 13:21:17;-87.03
2025-05-08 13:21:16;-70.28
2025-05-08 13:21:15;-96.53
2025-05-08 13:21:14;-98.78
2025-05-08 13:21:13;-82.03
2025-05-08 13:21:12;-68.03
2025-05-08 13:21:11;-12.78
2025-05-08 13:21:10;-10.53
2025-05-08 13:21:09;-58.53
2025-05-08 13:21:08;-96.53
2025-05-08 13:21:07;-36.28
2025-05-08 13:21:06;-33.03
2025-05-08 13:21:05;-34.03
2025-05-08 13:21:04;-71.53
2025-05-08 13:21:03;-12.78
2025-05-08 13:21:02;-31.78
2025-05-08 13:21:01;-82.03
2025-05-08 13:21:00;-8.28
2025-05-08 13:20:59;-77.53
2025-05-08 13:20:58;-74.78
2025-05-08 13:20:57;-53.03
2025-05-08 13:20:56;-58.03
2025-05-08 13:20:55;-50.78
2025-05-08 13:20:54;-7.78
2025-05-08 13:20:53;-67.03
2025-05-08 13:20:52;-36.78
2025-05-08 13:20:51;-31.78
2025-05-08 13:20:50;-58.03
2025-05-08 13:20:49;-74.28
2025-05-08 13:20:48;-86.53
2025-05-08 13:20:47;-41.78
2025-05-08 13:20:46;-17.28
2025-05-08 13:20:45;-24.53
2025-05-08 13:20:44;-40.78
2025-05-08 13:20:43;-79.28
2025-05-08 13:20:42;-48.03
2025-05-08 13:20:41;-3.28
2025-05-08 13:20:40;-34.03
2025-05-08 13:20:39;-43.53
2025-05-08 13:20:38;-83.78
2025-05-08 13:20:37;-53.78
2025-05-08 13:20:36;-50.03
2025-05-08 13:20:35;-60.03
2025-05-08 13:20:34;-47.28
2025-05-08 13:20:33;-38.28
2025-05-08 13:20:32;-71.28
2025-05-08 13:20:31;-24.78
2025-05-08 13:20:30;-59.78
2025-05-08 13:20:29;-83.28
2025-05-08 13:20:28;-33.53
2025-05-08 13:20:27;-24.03
2025-05-08 13:20:26;-0.53
2025-05-08 13:20:25;-21.28
2025-05-08 13:20:24;-93.28
2025-05-08 13:20:23;-59.78
2025-05-08 13:20:22;-69.28
2025-05-08 13:20:21;-85.53
2025-05-08 13:20:20;-67.03
2025-05-08 13:20:19;-25.78
2025-05-08 13:20:18;-16.78
2025-05-08 13:20:17;-78.78
2025-05-08 13:20:16;-14.53
2025-05-08 13:20:15;-28.53
2025-05-08 13:20:14;-95.03
2025-05-08 13:20:13;-16.28
2025-05-08 13:20:12;-88.28
2025-05-08 13:20:11;-24.03
2025-05-08 13:20:10;-35.28
2025-05-08 13:20:09;-14.03
2025-05-08 13:20:08;-49.78
2025-05-08 13:20:07;-50.28
2025-05-08 13:20:06;-52.03
2025-05-08 13:20:05;-54.78
2025-05-08 13:20:04;-6.28
2025-05-08 13:20:03;-67.28
2025-05-08 13:20:02;-41.53
2025-05-08 13:20:01;-65.03
2025-05-08 13:20:00;-95.03
2025-05-08 13:19:59;-28.03
2025-05-08 13:19:58;-73.78
2025-05-08 13:19:57;-19.03
2025-05-08 13:19:56;-80.53
2025-05-08 13:19:55;-64.28
2025-05-08 13:19:54;-47.53
2025-05-08 13:19:53;-23.53
2025-05-08 13:19:52;-80.53
2025-05-08 13:19:51;-82.78
2025-05-08 13:19:50;-35.28
2025-05-08 13:19:49;-78.28
2025-05-08 13:19:48;-37.53
2025-05-08 13:19:47;-54.28
2025-05-08 13:19:46;-4.53
2025-05-08 13:19:45;-51.03
2025-05-08 13:19:44;-18.03
2025-05-08 13:19:43;-88.53
2025-05-08 13:19:42;-57.78
2025-05-08 13:19:41;-81.78
2025-05-08 13:19:40;-62.78
2025-05-08 13:19:39;-53.28
2025-05-08 13:19:38;-10.78
2025-05-08 13:19:37;-4.03
2025-05-08 13:19:36;-61.03
2025-05-08 13:19:35;-18.53
2025-05-08 13:19:34;-71.03
2025-05-08 13:19:33;-38.28
2025-05-08 13:19:32;-41.03
2025-05-08 13:19:31;-33.28
2025-05-08 13:19:30;-22.53
2025-05-08 13:19:29;-90.28
2025-05-08 13:19:28;-51.53
2025-05-08 13:19:27;-49.28
2025-05-08 13:19:26;-36.53
2025-05-08 13:19:25;-94.03
2025-05-08 13:19:24;-6.28
2025-05-08 13:19:23;-10.78
2025-05-08 13:19:22;-29.78
2025-05-08 13:19:21;-34.78
2025-05-08 13:19:20;-84.53
2025-05-08 13:19:19;-77.28
2025-05-08 13:19:18;-93.53
2025-05-08 13:19:17;-37.03
2025-05-08 13:19:16;-44.28
2025-05-08 13:19:15;-53.78
2025-05-08 13:19:14;-41.53
2025-05-08 13:19:13;-15.78
2025-05-08 13:19:12;-15.28
2025-05-08 13:19:11;-72.78
2025-05-08 13:19:10;-60.53
2025-05-08 13:19:09;-25.28
2025-05-08 13:19:08;-93.53
2025-05-08 13:19:07;-56.03
2025-05-08 13:19:06;-60.53
2025-05-08 13:19:05;-91.78
2025-05-08 13:19:04;-99.03
2025-05-08 13:19:03;-72.78
2025-05-08 13:19:02;-58.28
2025-05-08 13:19:01;-49.03
2025-05-08 13:19:00;-49.53
2025-05-08 13:18:59;-44.53
2025-05-08 13:18:58;-49.53
2025-05-08 13:18:57;-55.53
2025-05-08 13:18:56;-8.03
2025-05-08 13:18:55;-81.78
2025-05-08 13:18:54;-46.03
2025-05-08 13:18:53;-37.78
2025-05-08 13:18:52;-51.78
2025-05-08 13:18:51;-4.28
2025-05-08 13:18:50;-23.78
