Fecha y Hora;TT-3035 - Temperatura reactor R-303
2025-05-08 13:27:39;43.18
2025-05-08 13:27:38;5.18
2025-05-08 13:27:37;29.18
2025-05-08 13:27:36;67.18
2025-05-08 13:27:35;40.93
2025-05-08 13:27:34;72.18
2025-05-08 13:27:33;15.68
2025-05-08 13:27:32;55.93
2025-05-08 13:27:31;75.43
2025-05-08 13:27:30;63.68
2025-05-08 13:27:29;2.18
2025-05-08 13:27:28;3.93
2025-05-08 13:27:27;19.43
2025-05-08 13:27:26;60.18
2025-05-08 13:27:25;30.68
2025-05-08 13:27:24;42.43
2025-05-08 13:27:23;70.93
2025-05-08 13:27:22;25.18
2025-05-08 13:27:21;41.93
2025-05-08 13:27:20;50.93
2025-05-08 13:27:19;25.18
2025-05-08 13:27:18;79.93
2025-05-08 13:27:17;94.43
2025-05-08 13:27:16;36.43
2025-05-08 13:27:15;51.93
2025-05-08 13:27:14;15.68
2025-05-08 13:27:13;82.18
2025-05-08 13:27:12;72.68
2025-05-08 13:27:11;86.68
2025-05-08 13:27:10;46.43
2025-05-08 13:27:09;79.93
2025-05-08 13:27:08;70.43
2025-05-08 13:27:07;82.18
2025-05-08 13:27:06;70.43
2025-05-08 13:27:05;58.18
2025-05-08 13:27:04;87.18
2025-05-08 13:27:03;29.68
2025-05-08 13:27:02;54.18
2025-05-08 13:27:01;94.43
2025-05-08 13:27:00;32.43
2025-05-08 13:26:59;75.43
2025-05-08 13:26:58;63.68
2025-05-08 13:26:57;6.18
2025-05-08 13:26:56;94.43
2025-05-08 13:26:55;90.93
2025-05-08 13:26:54;50.68
2025-05-08 13:26:53;7.68
2025-05-08 13:26:52;66.93
2025-05-08 13:26:51;70.43
2025-05-08 13:26:50;94.93
2025-05-08 13:26:49;89.93
2025-05-08 13:26:48;97.18
2025-05-08 13:26:47;96.68
2025-05-08 13:26:46;4.43
2025-05-08 13:26:45;6.18
2025-05-08 13:26:44;60.93
2025-05-08 13:26:43;3.93
2025-05-08 13:26:42;56.43
2025-05-08 13:26:41;20.68
2025-05-08 13:26:40;66.93
2025-05-08 13:26:39;31.68
2025-05-08 13:26:38;95.93
2025-05-08 13:26:37;50.18
2025-05-08 13:26:36;47.43
