Fecha y Hora;TT-402A - Temperatura estator bomba B-402A
2025-05-08 13:27:39;66.43
2025-05-08 13:27:38;95.43
2025-05-08 13:27:37;40.68
2025-05-08 13:27:36;2.68
2025-05-08 13:27:35;31.18
2025-05-08 13:27:34;62.43
2025-05-08 13:27:33;90.93
2025-05-08 13:27:32;43.93
2025-05-08 13:27:31;65.68
2025-05-08 13:27:30;99.18
2025-05-08 13:27:29;13.68
2025-05-08 13:27:28;81.93
2025-05-08 13:27:27;73.93
2025-05-08 13:27:26;67.18
2025-05-08 13:27:25;11.43
2025-05-08 13:27:24;77.93
2025-05-08 13:27:23;61.18
2025-05-08 13:27:22;32.18
2025-05-08 13:27:21;86.93
2025-05-08 13:27:20;50.68
2025-05-08 13:27:19;77.43
2025-05-08 13:27:18;70.18
2025-05-08 13:27:17;48.93
2025-05-08 13:27:16;62.43
2025-05-08 13:27:15;29.93
2025-05-08 13:27:14;3.18
2025-05-08 13:27:13;38.93
2025-05-08 13:27:12;55.68
2025-05-08 13:27:11;22.18
2025-05-08 13:27:10;48.43
2025-05-08 13:27:09;57.93
2025-05-08 13:27:08;77.43
2025-05-08 13:27:07;43.93
2025-05-08 13:27:06;98.68
2025-05-08 13:27:05;46.18
2025-05-08 13:27:04;22.68
2025-05-08 13:27:03;19.93
2025-05-08 13:27:02;99.18
2025-05-08 13:27:01;17.68
2025-05-08 13:27:00;55.68
2025-05-08 13:26:59;20.43
2025-05-08 13:26:58;22.68
2025-05-08 13:26:57;13.18
2025-05-08 13:26:56;39.43
2025-05-08 13:26:55;81.18
2025-05-08 13:26:54;40.93
2025-05-08 13:26:53;52.68
2025-05-08 13:26:52;92.93
2025-05-08 13:26:51;13.18
2025-05-08 13:26:50;37.68
2025-05-08 13:26:49;23.18
2025-05-08 13:26:48;99.18
2025-05-08 13:26:47;86.93
2025-05-08 13:26:46;72.93
2025-05-08 13:26:45;39.43
2025-05-08 13:26:44;5.93
2025-05-08 13:26:43;94.18
2025-05-08 13:26:42;53.93
2025-05-08 13:26:41;98.68
2025-05-08 13:26:40;28.68
2025-05-08 13:26:39;21.93
2025-05-08 13:26:38;86.18
2025-05-08 13:26:37;6.93
2025-05-08 13:26:36;35.43
2025-05-08 13:26:35;59.43
2025-05-08 13:26:34;23.68
2025-05-08 13:26:33;39.43
2025-05-08 13:26:32;44.93
2025-05-08 13:26:31;46.68
2025-05-08 13:26:30;16.43
2025-05-08 13:26:29;75.68
2025-05-08 13:26:28;49.43
2025-05-08 13:26:27;66.18
2025-05-08 13:26:26;58.93
2025-05-08 13:26:25;61.68
2025-05-08 13:26:24;61.18
2025-05-08 13:26:23;53.18
2025-05-08 13:26:22;34.18
2025-05-08 13:26:21;93.93
2025-05-08 13:26:20;90.18
2025-05-08 13:26:19;6.93
2025-05-08 13:26:18;20.93
2025-05-08 13:26:17;13.68
2025-05-08 13:26:16;90.18
2025-05-08 13:26:15;75.68
2025-05-08 13:26:14;18.68
2025-05-08 13:26:13;44.93
2025-05-08 13:26:12;9.68
2025-05-08 13:26:11;78.43
2025-05-08 13:26:10;82.93
2025-05-08 13:26:09;85.68
2025-05-08 13:26:08;56.68
2025-05-08 13:26:07;11.93
2025-05-08 13:26:06;73.93
2025-05-08 13:26:05;63.93
2025-05-08 13:26:04;95.18
2025-05-08 13:26:03;9.18
2025-05-08 13:26:02;56.68
2025-05-08 13:26:01;18.68
2025-05-08 13:26:00;57.18
2025-05-08 13:25:59;44.93
2025-05-08 13:25:58;33.18
2025-05-08 13:25:57;85.18
2025-05-08 13:25:56;39.93
2025-05-08 13:25:55;1.93
2025-05-08 13:25:54;33.18
2025-05-08 13:25:53;73.43
2025-05-08 13:25:52;63.18
2025-05-08 13:25:51;50.93
2025-05-08 13:25:50;72.18
2025-05-08 13:25:49;42.43
2025-05-08 13:25:48;56.93
2025-05-08 13:25:47;46.43
2025-05-08 13:25:46;72.18
2025-05-08 13:25:45;91.18
2025-05-08 13:25:44;36.43
2025-05-08 13:25:43;69.93
2025-05-08 13:25:42;48.68
2025-05-08 13:25:41;14.18
2025-05-08 13:25:40;81.18
2025-05-08 13:25:39;43.18
2025-05-08 13:25:38;54.93
2025-05-08 13:25:37;54.93
2025-05-08 13:25:36;59.43
2025-05-08 13:25:35;2.93
2025-05-08 13:25:34;24.68
2025-05-08 13:25:33;10.68
2025-05-08 13:25:32;52.68
2025-05-08 13:25:31;45.43
2025-05-08 13:25:30;69.93
2025-05-08 13:25:29;64.43
2025-05-08 13:25:28;71.68
2025-05-08 13:25:27;31.93
2025-05-08 13:25:26;86.18
2025-05-08 13:25:25;38.68
2025-05-08 13:25:24;3.43
2025-05-08 13:25:23;31.43
2025-05-08 13:25:22;5.18
2025-05-08 13:25:21;1.18
2025-05-08 13:25:20;55.18
2025-05-08 13:25:19;25.18
2025-05-08 13:25:18;6.68
2025-05-08 13:25:17;80.93
2025-05-08 13:25:16;61.93
2025-05-08 13:25:15;64.93
2025-05-08 13:25:14;10.68
2025-05-08 13:25:13;69.93
2025-05-08 13:25:12;63.68
2025-05-08 13:25:11;82.18
2025-05-08 13:25:10;98.43
2025-05-08 13:25:09;24.68
2025-05-08 13:25:08;32.43
2025-05-08 13:25:07;89.43
2025-05-08 13:25:06;93.93
2025-05-08 13:25:05;74.93
