Fecha y Hora;TT-402B - Temperatura estator bomba B-402B
2025-05-08 13:27:39;93.68
2025-05-08 13:27:38;62.93
2025-05-08 13:27:37;8.18
2025-05-08 13:27:36;27.18
2025-05-08 13:27:35;53.43
2025-05-08 13:27:34;84.68
2025-05-08 13:27:33;58.93
2025-05-08 13:27:32;49.43
2025-05-08 13:27:31;80.68
2025-05-08 13:27:30;66.68
2025-05-08 13:27:29;81.18
2025-05-08 13:27:28;99.68
2025-05-08 13:27:27;41.43
2025-05-08 13:27:26;72.68
2025-05-08 13:27:25;16.93
2025-05-08 13:27:24;92.93
2025-05-08 13:27:23;76.18
2025-05-08 13:27:22;37.68
2025-05-08 13:27:21;9.18
2025-05-08 13:27:20;10.93
2025-05-08 13:27:19;82.93
2025-05-08 13:27:18;30.43
2025-05-08 13:27:17;63.93
2025-05-08 13:27:16;39.43
2025-05-08 13:27:15;2.43
2025-05-08 13:27:14;20.93
2025-05-08 13:27:13;66.18
2025-05-08 13:27:12;32.68
2025-05-08 13:27:11;44.43
2025-05-08 13:27:10;30.43
2025-05-08 13:27:09;75.68
2025-05-08 13:27:08;37.68
2025-05-08 13:27:07;49.43
2025-05-08 13:27:06;66.18
2025-05-08 13:27:05;96.93
2025-05-08 13:27:04;37.68
2025-05-08 13:27:03;42.18
2025-05-08 13:27:02;68.93
2025-05-08 13:27:01;35.43
2025-05-08 13:27:00;28.18
2025-05-08 13:26:59;35.43
2025-05-08 13:26:58;95.18
2025-05-08 13:26:57;18.68
2025-05-08 13:26:56;54.43
2025-05-08 13:26:55;48.68
2025-05-08 13:26:54;10.68
2025-05-08 13:26:53;67.68
2025-05-08 13:26:52;53.18
2025-05-08 13:26:51;18.68
2025-05-08 13:26:50;43.18
2025-05-08 13:26:49;83.43
2025-05-08 13:26:48;81.18
2025-05-08 13:26:47;54.43
2025-05-08 13:26:46;45.43
2025-05-08 13:26:45;85.68
2025-05-08 13:26:44;20.93
2025-05-08 13:26:43;9.18
2025-05-08 13:26:42;59.43
2025-05-08 13:26:41;25.93
2025-05-08 13:26:40;34.18
2025-05-08 13:26:39;36.93
2025-05-08 13:26:38;55.93
2025-05-08 13:26:37;88.93
2025-05-08 13:26:36;86.18
2025-05-08 13:26:35;86.68
2025-05-08 13:26:34;93.43
2025-05-08 13:26:33;66.68
2025-05-08 13:26:32;50.43
2025-05-08 13:26:31;16.43
2025-05-08 13:26:30;76.68
2025-05-08 13:26:29;2.93
2025-05-08 13:26:28;76.68
2025-05-08 13:26:27;83.93
2025-05-08 13:26:26;40.93
2025-05-08 13:26:25;62.68
2025-05-08 13:26:24;76.18
2025-05-08 13:26:23;25.68
2025-05-08 13:26:22;51.93
2025-05-08 13:26:21;16.18
2025-05-08 13:26:20;17.43
2025-05-08 13:26:19;79.43
2025-05-08 13:26:18;43.18
2025-05-08 13:26:17;31.43
2025-05-08 13:26:16;95.68
2025-05-08 13:26:15;12.43
2025-05-08 13:26:14;36.43
2025-05-08 13:26:13;62.68
2025-05-08 13:26:12;24.68
2025-05-08 13:26:11;38.68
2025-05-08 13:26:10;43.18
2025-05-08 13:26:09;91.18
2025-05-08 13:26:08;26.43
2025-05-08 13:26:07;81.68
2025-05-08 13:26:06;41.43
2025-05-08 13:26:05;31.43
2025-05-08 13:26:04;96.18
2025-05-08 13:26:03;36.43
2025-05-08 13:26:02;29.18
2025-05-08 13:26:01;40.93
2025-05-08 13:26:00;29.68
2025-05-08 13:25:59;72.18
2025-05-08 13:25:58;60.43
2025-05-08 13:25:57;45.43
2025-05-08 13:25:56;12.43
2025-05-08 13:25:55;74.43
2025-05-08 13:25:54;2.93
2025-05-08 13:25:53;43.18
2025-05-08 13:25:52;21.18
2025-05-08 13:25:51;51.93
2025-05-08 13:25:50;99.43
2025-05-08 13:25:49;86.43
2025-05-08 13:25:48;17.18
2025-05-08 13:25:47;47.43
2025-05-08 13:25:46;18.43
2025-05-08 13:25:45;37.43
2025-05-08 13:25:44;58.68
2025-05-08 13:25:43;51.93
2025-05-08 13:25:42;21.18
2025-05-08 13:25:41;41.43
2025-05-08 13:25:40;58.18
2025-05-08 13:25:39;6.18
2025-05-08 13:25:38;27.43
2025-05-08 13:25:37;82.18
2025-05-08 13:25:36;77.18
2025-05-08 13:25:35;20.68
2025-05-08 13:25:34;30.18
2025-05-08 13:25:33;70.93
2025-05-08 13:25:32;89.43
2025-05-08 13:25:31;63.18
2025-05-08 13:25:30;75.43
2025-05-08 13:25:29;82.18
2025-05-08 13:25:28;86.68
2025-05-08 13:25:27;54.18
2025-05-08 13:25:26;22.93
2025-05-08 13:25:25;75.43
2025-05-08 13:25:24;8.93
2025-05-08 13:25:23;13.43
2025-05-08 13:25:22;72.68
2025-05-08 13:25:21;51.93
2025-05-08 13:25:20;60.68
2025-05-08 13:25:19;85.43
2025-05-08 13:25:18;74.18
2025-05-08 13:25:17;3.18
2025-05-08 13:25:16;22.18
2025-05-08 13:25:15;37.43
2025-05-08 13:25:14;16.18
2025-05-08 13:25:13;97.18
2025-05-08 13:25:12;33.43
2025-05-08 13:25:11;37.93
2025-05-08 13:25:10;16.18
2025-05-08 13:25:09;70.93
2025-05-08 13:25:08;92.68
2025-05-08 13:25:07;4.43
2025-05-08 13:25:06;21.18
2025-05-08 13:25:05;47.43
2025-05-08 13:25:04;78.18
2025-05-08 13:25:03;6.68
